user;user_profile;date_review;title;rating;type_visit;num_contributions;review
Serpollet;Serpollet;2 décembre 2024;Grande tradition lyonnaise;5.0;couples;152;"Nous avons passé un excellent moment dans ce restaurant à la réputation non usurpée.Service 5 plats:3 magnifiques :araignée de mer,foie gras artichaud ""Eugenie Brazier"",ris de veau.2 décevants:choux farci au gibier ,bon mais plutôt fade sans goût de gibier,dessert soufflé très chaud assez banal.Aucun choix de dessert chocolaté,c'est très dommage.
Malgré tout,le service parfait rattrape ces petites regrets et ne me fait pas diminuer ma note finale."
tif s;925tifs;18 novembre 2024;Bon resto;5.0;family;17;"Excellent restaurant 
Super qualité prix 
Nourriture savoureuse belle présentation 
Super accueil 
Je recommande fortement"
ninoacmo;ninoacmo;15 novembre 2024;Merveilleux repas, service parfait;5.0;couples;30;"Notre fils nous a offert un menu Eugénie Brazier pour deux. A notre arrivée, le menu était sur la table, ce qui fait gagner du temps et nous avons pu l'emmener à la fin du repas, attention très appréciée. En amuse gueule, une tranche de pâté croute avec foie gras et des gambas en tartare, ça démarre bien !
Sans détailler tout le repas en 5 services, mention spéciale à la tartelette champignons/coques plus que délicieuse tout comme le pain de brochet croustillant avec une bouchée d'anguille fumée accompagnés par une sauce matelote fantastique. Quant au ris de veau et son jus à la pimprenelle, une tuerie tout comme le pigeon à la cuisson parfaite. En résumé, un repas de rêve avec un service parfait. Une sommelière assez jeune mais connaissant très bien son métier et qui a parfaitement conseillé le vin qu'il fallait sans en rajouter ; plusieurs serveurs nous ont servis mais tous savaient ce qu'ils avaient à faire et étaient toujours là quand on en avait besoin sans être envahissants. J'ai bien aimé la réflexion d'un d'entre eux quand il est venu cacher les taches que j'avais faites sur la belle nappe blanche par une espèce de chemin de table blanc ""on va dire qu'il ne s'est rien passé"" a-t-il dit en souriant...c'est ça la classe !
Bref, tout était parfait, je n'ai qu'un seul regret qui concerne malheureusement tous les restaurants gastronomiques, c'est le prix des vins. Ces restaurants tirent les prix sur la carte et les menus et ""se lâchent"" sur les vins ; étant amateur de (très) bons vins, je ne peux jamais choisir le vin que je désire pour accompagner ces superbes plats. Les restaurateurs me disent que c'est l'effet du stock qui est lourd dans la trésorerie, je peux comprendre pour les vieux millésimes mais pas pour des bouteilles qui sont en cave depuis peu et vendre 900 un vin qu'on a payé 200 trois ans avant, ça pique un peu !
C'est triste pour moi mais comme je l'ai dit, tous les grands restaurants font de même donc je maintiens : repas parfait, plats exceptionnels, service au top, ça mérite 20/20."
Djill38;Djill38;21 octobre 2024;Une explosion de saveurs...;5.0;couples;125;"De la prise en charge dès la porte poussée et jusqu'à notre sortie, c'est un ballet enivrant de serveurs ( et serveuses) aussi attentionnés et professionnel que possible.
Tout était parfait...
Du pressé de foie gras artichaut hommage à la mère Brazier, ris de veaux à la grenobloise, pain de brochet croustillant, aux soufflé noisette et praliné, figues rôties façon suzette...
Une explosion de bulles de saveurs...Et je ne parle pas des mises en bouche, pré-dessert et autres gourmandises ...( La madeleine était sublime !!!)
Pour une ardoise à 140€ / personne...cela reste vraiment raisonnable pour un 2 étoiles, qui les mérite amplement!
Nous reviendrons très vite !!!"
LILI;Odyssey17905604830;24 août 2024;ADRESSE À FAIRE UNE FOIS;3.0;couples;237;La décoration est resté (beaucoup trop) figé dans le temps. Pourtant c’est un genre qu’on aime beaucoup, mais il faut le maîtriser pour que ça ne fasse pas négligé (et c’est le cas). Nous avons eu la chance de déjeuner dans une petite salle privé, c’est à demander au moment de la réservation. Les plats sont bons et relève la gastronomie française. Ils restent dans leurs traditions avec peu d’innovation… C’est une adresse à faire ne serait-ce qu’une fois, c’est culturel. Nous remercions encore le sommelier qui a su être à l’écoute et nous a fait découvrir un vin qui est resté un de nos préférés jusqu’à aujourd’hui!
valsco1;valsco1;26 juin 2024;Toujours un réel plaisir;5.0;couples;923;"Encore, et toujours une des plus belles adresses de Lyon…

Nous pouvons dire que nous aimons ce restaurant dans lequel nous avons nos petites habitudes et où nous prenons un réel plaisir à retrouver toute l’équipe à chacune de nos visites 

Toujours cette mention spéciale pour le foie gras, artichauts qui change de recettes à chaque carte, mais qui cette fois est un réel Delice !!

Les desserts aussi sont incroyable !!

Merci à tous pour votre implication et à très bientôt"
Kelly B;kellybU5437MU;10 juin 2024;Très bonne adresse;5.0;friends;1;L’endroit est super et l’accueil très chaleureux, Naïma est adorable, adorable, les prix restent correct, c’est la nourriture bonne. Je recommande +++
fabienne b;582fabienneb;8 mai 2024;Une vraie bonne mère;5.0;couples;406;Le plaisir d'une cuisine traditionnelle ponctuée de modernité. Tout y est, produits de saison très bien travaillés, recettes traditionnelles préservées, une carte séparée des menus, une jolie carte des vins, des plats copieux, un vrai chariot de fromages. Service parfait. Tout le monde est aux petits soins. Un déjeuner bien digne des deux macarons.
Denis G;529denisg;29 avril 2024;Une vraie valeur Lyonnaise partagée entre Lyonnais;5.0;couples;21;C'est toujours un plaisir de retrouver ce lieu plein de charme, cette cuisine merveilleuse et ce service aux petits soins. Un moment partagé entre amis et un tout qui rend l'instant inoubliable!
Voyagegolf;Voyagegolf;17 mars 2024;Aux attendus;4.0;couples;654;Une jolie salle, une atmosphère paisible, un service sympathique, la table est élégante. Deux menus du midi, foie gras, chou gibier pour lui et dorade pour moi, pavlova en dessert. Mises en bouche jolies et savoureuses, accord de vin bien vu, le repas est bien, les produits bien travaillés et présentés avec élégance. L’avant dessert est très bien, bonne surprise. Une très bonne table abordable le midi même avec les vins et un café de très bonne qualité. Nous reviendrons sans faute
