user,user_profile,date_review,title,rating,type_visit,num_contributions,review,review_cleaned,year,month
Serpollet,Serpollet,2024-12-02,Grande tradition lyonnaise,5.0,couples,152,"Nous avons passé un excellent moment dans ce restaurant à la réputation non usurpée.Service 5 plats:3 magnifiques :araignée de mer,foie gras artichaud ""Eugenie Brazier"",ris de veau.2 décevants:choux farci au gibier ,bon mais plutôt fade sans goût de gibier,dessert soufflé très chaud assez banal.Aucun choix de dessert chocolaté,c'est très dommage.
Malgré tout,le service parfait rattrape ces petites regrets et ne me fait pas diminuer ma note finale.",avon passé excellent moment restaurant réputation non usurpéeservice plat magnifiques araignée merfoie gras artichaud eugenie brazierris veau décevantschoux farci gibier bon plutôt fade sans goût gibierdessert soufflé très chaud assez banalaucun choix dessert chocolatécest très dommage malgré toutle service parfait rattrape petite regret fait diminuer note finale,2024,12
tif s,925tifs,2024-11-18,Bon resto,5.0,family,17,"Excellent restaurant 
Super qualité prix 
Nourriture savoureuse belle présentation 
Super accueil 
Je recommande fortement",excellent restaurant super qualité prix nourriture savoureuse belle présentation super accueil recommande fortement,2024,11
ninoacmo,ninoacmo,2024-11-15,"Merveilleux repas, service parfait",5.0,couples,30,"Notre fils nous a offert un menu Eugénie Brazier pour deux. A notre arrivée, le menu était sur la table, ce qui fait gagner du temps et nous avons pu l'emmener à la fin du repas, attention très appréciée. En amuse gueule, une tranche de pâté croute avec foie gras et des gambas en tartare, ça démarre bien !
Sans détailler tout le repas en 5 services, mention spéciale à la tartelette champignons/coques plus que délicieuse tout comme le pain de brochet croustillant avec une bouchée d'anguille fumée accompagnés par une sauce matelote fantastique. Quant au ris de veau et son jus à la pimprenelle, une tuerie tout comme le pigeon à la cuisson parfaite. En résumé, un repas de rêve avec un service parfait. Une sommelière assez jeune mais connaissant très bien son métier et qui a parfaitement conseillé le vin qu'il fallait sans en rajouter ; plusieurs serveurs nous ont servis mais tous savaient ce qu'ils avaient à faire et étaient toujours là quand on en avait besoin sans être envahissants. J'ai bien aimé la réflexion d'un d'entre eux quand il est venu cacher les taches que j'avais faites sur la belle nappe blanche par une espèce de chemin de table blanc ""on va dire qu'il ne s'est rien passé"" a-t-il dit en souriant...c'est ça la classe !
Bref, tout était parfait, je n'ai qu'un seul regret qui concerne malheureusement tous les restaurants gastronomiques, c'est le prix des vins. Ces restaurants tirent les prix sur la carte et les menus et ""se lâchent"" sur les vins ; étant amateur de (très) bons vins, je ne peux jamais choisir le vin que je désire pour accompagner ces superbes plats. Les restaurateurs me disent que c'est l'effet du stock qui est lourd dans la trésorerie, je peux comprendre pour les vieux millésimes mais pas pour des bouteilles qui sont en cave depuis peu et vendre 900 un vin qu'on a payé 200 trois ans avant, ça pique un peu !
C'est triste pour moi mais comme je l'ai dit, tous les grands restaurants font de même donc je maintiens : repas parfait, plats exceptionnels, service au top, ça mérite 20/20.",fils offert menu eugénie brazier deux arrivée menu table fait gagner temp avon lemmener fin repas attention très appréciée amuse gueule tranche pâté croute foie gras gamba tartare démarre bien sans détailler tout repas service mention spéciale tartelette champignonscoques plus délicieuse tout comme pain brochet croustillant bouchée danguille fumée accompagnés sauce matelote fantastique quant veau jus pimprenelle tuerie tout comme pigeon cuisson parfaite résumé repas rêve service parfait sommelière assez jeune connaissant très bien métier parfaitement conseillé vin quil fallait sans rajouter plusieurs serveurs servis tous savaient quils faire toujours quand besoin sans être envahissants jai bien aimé réflexion dun dentre quand venu cacher tach javais faites belle nappe blanche espèce chemin table blanc dire quil sest rien passé atil dit souriantcest classe bref tout parfait nai quun seul regret concerne malheureusement tous restaurant gastronomiques cest prix vins restaurant tirent prix carte menu lâchent vins amateur très bons vins peux jamais choisir vin désire accompagner superbes plat restaurateur disent cest leffet stock lourd trésorerie peux comprendre vieux millésimes bouteilles cave depuis peu vendre vin quon payé trois avant pique peu cest triste comme lai dit tous grand restaurant font donc maintiens repas parfait plat exceptionnels service top mérite,2024,11
Djill38,Djill38,2024-10-21,Une explosion de saveurs...,5.0,couples,125,"De la prise en charge dès la porte poussée et jusqu'à notre sortie, c'est un ballet enivrant de serveurs ( et serveuses) aussi attentionnés et professionnel que possible.
Tout était parfait...
Du pressé de foie gras artichaut hommage à la mère Brazier, ris de veaux à la grenobloise, pain de brochet croustillant, aux soufflé noisette et praliné, figues rôties façon suzette...
Une explosion de bulles de saveurs...Et je ne parle pas des mises en bouche, pré-dessert et autres gourmandises ...( La madeleine était sublime !!!)
Pour une ardoise à 140€ / personne...cela reste vraiment raisonnable pour un 2 étoiles, qui les mérite amplement!
Nous reviendrons très vite !!!",prise charge dès porte poussée jusquà sortie cest ballet enivrant serveurs serveuses aussi attentionnés professionnel possible tout parfait pressé foie gras artichaut hommage mère brazier veaux grenobloise pain brochet croustillant soufflé noisette praliné figues rôties façon suzette explosion bulles saveurset parle mises bouche prédessert autres gourmandises madeleine sublime ardoise personnecela reste vraiment raisonnable étoiles mérite amplement reviendrons très vite,2024,10
LILI,Odyssey17905604830,2024-08-24,ADRESSE À FAIRE UNE FOIS,3.0,couples,237,"La décoration est resté (beaucoup trop) figé dans le temps. Pourtant c’est un genre qu’on aime beaucoup, mais il faut le maîtriser pour que ça ne fasse pas négligé (et c’est le cas). Nous avons eu la chance de déjeuner dans une petite salle privé, c’est à demander au moment de la réservation. Les plats sont bons et relève la gastronomie française. Ils restent dans leurs traditions avec peu d’innovation… C’est une adresse à faire ne serait-ce qu’une fois, c’est culturel. Nous remercions encore le sommelier qui a su être à l’écoute et nous a fait découvrir un vin qui est resté un de nos préférés jusqu’à aujourd’hui!",décoration resté beaucoup trop figé temp pourtant cest genre quon aime beaucoup faut maîtriser fasse négligé cest avon chance déjeuner petite salle privé cest demander moment réservation plat bons relève gastronomie française restent leurs tradition peu dinnovation cest adresse faire seraitce quune fois cest culturel remercions encore sommelier être lécoute fait découvrir vin resté préférés jusquà aujourdhui,2024,8
valsco1,valsco1,2024-06-26,Toujours un réel plaisir,5.0,couples,923,"Encore, et toujours une des plus belles adresses de Lyon…

Nous pouvons dire que nous aimons ce restaurant dans lequel nous avons nos petites habitudes et où nous prenons un réel plaisir à retrouver toute l’équipe à chacune de nos visites 

Toujours cette mention spéciale pour le foie gras, artichauts qui change de recettes à chaque carte, mais qui cette fois est un réel Delice !!

Les desserts aussi sont incroyable !!

Merci à tous pour votre implication et à très bientôt",encore toujours plus belle adresses lyon pouvons dire aimons restaurant lequel avon petite habitude prenons réel plaisir retrouver toute léquipe chacune visites toujours cette mention spéciale foie gras artichauts change recettes chaque carte cette fois réel delice dessert aussi incroyable merci tous implication très bientôt,2024,6
Kelly B,kellybU5437MU,2024-06-10,Très bonne adresse,5.0,friends,1,"L’endroit est super et l’accueil très chaleureux, Naïma est adorable, adorable, les prix restent correct, c’est la nourriture bonne. Je recommande +++",lendroit super laccueil très chaleureux naïma adorable adorable prix restent correct cest nourriture bonne recommande,2024,6
fabienne b,582fabienneb,2024-05-08,Une vraie bonne mère,5.0,couples,406,"Le plaisir d'une cuisine traditionnelle ponctuée de modernité. Tout y est, produits de saison très bien travaillés, recettes traditionnelles préservées, une carte séparée des menus, une jolie carte des vins, des plats copieux, un vrai chariot de fromages. Service parfait. Tout le monde est aux petits soins. Un déjeuner bien digne des deux macarons.",plaisir dune cuisine traditionnelle ponctuée modernité tout produits saison très bien travaillés recettes traditionnelles préservées carte séparée menu jolie carte vins plat copieux vrai chariot fromages service parfait tout monde petits soins déjeuner bien digne deux macarons,2024,5
Denis G,529denisg,2024-04-29,Une vraie valeur Lyonnaise partagée entre Lyonnais,5.0,couples,21,"C'est toujours un plaisir de retrouver ce lieu plein de charme, cette cuisine merveilleuse et ce service aux petits soins. Un moment partagé entre amis et un tout qui rend l'instant inoubliable!",cest toujours plaisir retrouver lieu plein charme cette cuisine merveilleuse service petits soins moment partagé entre amis tout rend linstant inoubliable,2024,4
Voyagegolf,Voyagegolf,2024-03-17,Aux attendus,4.0,couples,654,"Une jolie salle, une atmosphère paisible, un service sympathique, la table est élégante. Deux menus du midi, foie gras, chou gibier pour lui et dorade pour moi, pavlova en dessert. Mises en bouche jolies et savoureuses, accord de vin bien vu, le repas est bien, les produits bien travaillés et présentés avec élégance. L’avant dessert est très bien, bonne surprise. Une très bonne table abordable le midi même avec les vins et un café de très bonne qualité. Nous reviendrons sans faute",jolie salle atmosphère paisible service sympathique table élégante deux menu midi foie gras chou gibier dorade pavlova dessert mises bouche jolies savoureuses accord vin bien repas bien produits bien travaillés présentés élégance lavant dessert très bien bonne surprise très bonne table abordable midi vins café très bonne qualité reviendrons sans faute,2024,3
