user,user_profile,date_review,title,rating,type_visit,num_contributions,review,restaurant,review_cleaned,year,month
Fred S,fredsX5996LQ,2024-12-15,Très belle expérience,5.0,family,8,"Ambiance soignée, patrons amicaux et donnant toutes les explications bienvenues sur l'histoire de leur restaurant et sur les plats. De beaux plats, 2 à 3 choix par type. Très bien cuisiné, assaisonné et portions équilibrées. Belle carte des vins, très fournies. Bravo à vous, nous reviendrons",Frazarin Bistrot Franco Italien,ambiance soignée patron amicaux donnant toutes explication bienvenues lhistoire restaurant plat beau plat choix type très bien cuisiné assaisonné portion équilibrées belle carte vins très fournies bravo reviendrons,2024,12
Guide38409630404,Guide38409630404,2024-11-27,"Déjeuner au Frazarin, que du bonheur",5.0,friends,1,"Vous voulez bien manger, alors allez dans ce restaurant. Tout est parfait. L'accueil, la sympathie du personnel, excellent.
Vous pouvez même vous rendre en cuisine pour féliciter le cuisinier, il est très content d'entendre votre satisfaction.
Je le recommande vivement. En sortant du restaurant, mes amis m'ont dit "" il faut que l'on revienne ici, trop bon """,Frazarin Bistrot Franco Italien,voulez bien manger alors allez restaurant tout parfait laccueil sympathie personnel excellent pouvez rendre cuisine féliciter cuisinier très content dentendre satisfaction recommande vivement sortant restaurant amis mont dit faut lon revienne ici trop bon,2024,11
Chartin M,chartinm,2024-11-20,La perfection tout simplement,5.0,couples,4,"Tout simplement parfait de l’entrée au dessert en passant par les vins et le service. 

Assurément un des meilleurs restaurant de ma vie !

Merci Frazarin.",Frazarin Bistrot Franco Italien,tout simplement parfait lentrée dessert passant vins service assurément meilleurs restaurant vie merci frazarin,2024,11
Axelfoley009,Axelfoley009,2024-11-18,Plat frais et de qualité,5.0,couples,38,Belle soirée passée au Frazarin. Certainement encore plus recommandable pour les amateurs de vin(s). Personnel également très avenant.,Frazarin Bistrot Franco Italien,belle soirée passée frazarin certainement encore plus recommandable amateur vins personnel également très avenant,2024,11
Karine P,karinepU103AS,2024-11-13,très bien,5.0,business,1,"Très bon restaurant ! j'ai adoré le service et l'offre de restauration, le lieu est convivial ! je recommande à tous les amateur d'Italien",Frazarin Bistrot Franco Italien,très bon restaurant jai adoré service loffre restauration lieu convivial recommande tous amateur ditalien,2024,11
Jérôme L,j_r_mel472,2024-11-13,Très belle surprise !!!,5.0,couples,8,"Restaurant situé rue de Condé, vous qui êtes de passage ou habitant de Lyon, vous ne pouvez pas passer à  côté de cette pépite...
Très belle déco et que dire de ce qui se passe dans l'assiette! 
Cuisine raffinée qui exaltera vos papilles et qui vous fera voyager jusqu'en Italie... 
Alors à vos fourchettes et bon appétit....",Frazarin Bistrot Franco Italien,restaurant situé rue condé passage habitant lyon pouvez passer côté cette pépite très belle déco dire passe lassiette cuisine raffinée exaltera papilles fera voyager jusquen italie alors fourchettes bon appétit,2024,11
aquario13,cramarc13,2024-10-22,"Le Frazarin, promis un jour j'y reviens !",5.0,solo,173,"Mon dîner plutôt italien avec en 
entrée (photo hélas floue) : 
gnudi (sorte de gnocchis) toscani, ricotta e spinacci, bouillon e lardo colonnata. C'est sous forme de sphère - ricotta e spinacci), en fait enroulée dans de la colonnata, très très fine tranche de lard blanc frit, ressemblant à un Ha Kao mais plus translucide. Aussi surprenant à voir qu'à déguster ;

en plat : 
tagliatelle pomodoro, salsiccia, finicchio e menta. Le régal continue...

en dolce (dessert ) : gros chou crème pralinée, mascarpone avec caramel beurre salé et noisettes caramélisées. Un ""must"" !

Avec, pour accompagner, un ballon de succulentissime
Nero d'Avola.

Une adresse où se rendre sans hésiter à Lyon.",Frazarin Bistrot Franco Italien,dîner plutôt italien entrée photo hélas floue gnudi sorte gnocchi toscani ricotta spinacci bouillon lardo colonnata cest sou forme sphère ricotta spinacci fait enroulée colonnata très très fine tranche lard blanc frit ressemblant kao plus translucide aussi surprenant voir quà déguster plat tagliatelle pomodoro salsiccia finicchio menta régal continue dolce dessert gros chou crème pralinée mascarpone caramel beurre salé noisettes caramélisées must accompagner ballon succulentissime nero davola adresse rendre sans hésiter lyon,2024,10
M@lt,michelleaP8487LA,2024-10-17,Un coup de cœur !,5.0,couples,271,"Déjà à l’entrée, on y est accueilli avec gentillesse. Le service est personnalisé puisqu’on prend le temps d’expliquer le menu. Il ne faut pas s’attendre à un menu très diversifié, mais ce qui est proposé est bien cuisiné et recherché.
Bref, c’est vrai que c’est bon.",Frazarin Bistrot Franco Italien,déjà lentrée accueilli gentillesse service personnalisé puisquon prend temp dexpliquer menu faut sattendre menu très diversifié proposé bien cuisiné recherché bref cest vrai cest bon,2024,10
Muriel J,280murielj,2024-10-11,Très bonne adresse,5.0,couples,1,"Accueil très sympathique, plats originaux et très expressifs. Très bons conseils sur les vins. Une très bonne adresse.",Frazarin Bistrot Franco Italien,accueil très sympathique plat originaux très expressifs très bons conseils vins très bonne adresse,2024,10
Isabelle C,IsabelleC546,2024-09-26,Une belle découverte,5.0,couples,182,"Dès qu’on pousse la porte, on est chaleureusement accueilli par d’immenses sourires.
Le personnel est très sympathique et convivial ( un immense merci à Quentin qui connaît même la petite commune de Linkebeek 😂). La suite n’est pas en reste : une belle vaisselle, une présentation très soignée et des plats délicieux et de qualité.
Bref, on vous le recommande les yeux fermés.
Encore merci à vous.",Frazarin Bistrot Franco Italien,dès quon pousse porte chaleureusement accueilli dimmenses sourires personnel très sympathique convivial immense merci quentin connaît petite commune linkebeek suite nest reste belle vaisselle présentation très soignée plat délicieux qualité bref recommande yeux fermés encore merci,2024,9
MissEmmaR,MissEmmaR,2024-09-22,QUALITE GUSTATIVE INCROYABLE!!!!,5.0,solo,339,"TOUT EST FAIT MAISON ET CA SE VOIT!!!!
le déjeuner permet de choisir sa formule (plat ou entée plat ou plat dessert ou plat fromage ou entrée plat dessert/fromage) maximum 30 euros
Les saveurs sont exquises, vraiment. Et l'accueil est extrêmement sympathique.
Je reviendrai. JE RECOMMANDE!",Frazarin Bistrot Franco Italien,tout fait maison voit déjeuner permet choisir formule plat entée plat plat dessert plat fromage entrée plat dessertfromage maximum euro saveurs exquises vraiment laccueil extrêmement sympathique reviendrai recommande,2024,9
Alizée S,aliz_es258,2024-09-20,Une adresse a noter pour y retourner,5.0,couples,2,"Restaurant génial : le personnel est adorable et aux petits soins, les plats sont excellents, les prix corrects, le lieu est joli et pas trop bruyant. On voit des passionnés a l'œuvre et ça donne un repas super :)",Frazarin Bistrot Franco Italien,restaurant génial personnel adorable petits soins plat excellents prix corrects lieu joli trop bruyant voit passionnés lœuvre donne repas super,2024,9
claudine d,claudinedidier,2024-09-14,La vraie cuisine italienne,5.0,friends,10,"Très belle découverte, nous avons passé une excellente soirée .
La cuisine est délicieuse, de bons produits parfaitement mis en valeur ! 
Nous avons été judicieusement conseillés pour le choix des vins , le tout dans une ambiance chaleureuse et un cadre très agréable.
Nous reviendrons avec plaisir !",Frazarin Bistrot Franco Italien,très belle découverte avon passé excellente soirée cuisine délicieuse bons produits parfaitement valeur avon judicieusement conseillés choix vins tout ambiance chaleureuse cadre très agréable reviendrons plaisir,2024,9
Oscar L,I6610XFoscarl,2024-09-12,Un moment de partage,5.0,family,1,"Super moment ! Cuisine exceptionnelle et service incontournable… je recommande grandement ! 
Voyage entre l’Italie la france et une bande de pote",Frazarin Bistrot Franco Italien,super moment cuisine exceptionnelle service incontournable recommande grandement voyage entre litalie france bande pote,2024,9
Mical A,MicalA5,2024-06-12,Délicieux,5.0,friends,23,Excellent restaurant avec une influence italienne. Le serveur Max nous a très bien conseillés sur le vin. Vous pouvez y aller les yeux fermés et vous ne serez pas déçu 🤌,Frazarin Bistrot Franco Italien,excellent restaurant influence italienne serveur max très bien conseillés vin pouvez aller yeux fermés déçu,2024,6
claudiabk2020,claudiabk2020,2024-06-11,Un délice,5.0,friends,1,"De passage à Lyon avec une amie, j'avais repéré ce restaurant auparavant pour sa cuisine locale et son cadre agréable.
Nous voulions prendre du poisson mais comme la veille était un jour férié, il n'y en avait plus. Alors nous avons choisi le veau à la place. Résultat: Nous nous sommes régalées, une viande très tendre, agrémentée d'une sauce succulente à la sauge, le tout accompagné de pommes de terre caramélisés, un vrai délice.
Idem pour l'entrée et le dessert. J'y retournerais sans hésiter.",Frazarin Bistrot Franco Italien,passage lyon amie javais repéré restaurant auparavant cuisine locale cadre agréable voulions prendre poisson comme veille jour férié plus alors avon choisi veau place résultat somme régalées viande très tendre agrémentée dune sauce succulente sauge tout accompagné pommes terre caramélisés vrai délice idem lentrée dessert retournerais sans hésiter,2024,6
Sandrine V,sandrinevX7466QM,2024-06-09,"Atmosphère conviviale, cuisine inventive , élaborée et excellente, salle décorée avec goût....une soirée tout en finesse",5.0,friends,1,"Une adresse qui se partage facilement tant l'expérience est réussie....
On recommande fortement ce lieu découvert par des amis !",Frazarin Bistrot Franco Italien,adresse partage facilement tant lexpérience réussie recommande fortement lieu découvert amis,2024,6
Celine F,celinefV663JF,2024-06-01,Belle découverte,5.0,friends,1,"Nous avons passé une super soirée au Frazarin entre amis. l'accueil est parfait, et la cuisine au top. Je recommande vivement!!!",Frazarin Bistrot Franco Italien,avon passé super soirée frazarin entre amis laccueil parfait cuisine top recommande vivement,2024,6
Hervé le gourmand gourmet,893herv_l,2024-05-16,Une très belle adresse!!,5.0,couples,160,"3 amis à la tête de ce resto franco-italien, des amoureux de leur travail, superbe ambiance et des plats juste succulents. Du frais, du fait maison!! On recommande sans hésitation !",Frazarin Bistrot Franco Italien,amis tête resto francoitalien amoureux travail superbe ambiance plat juste succulent frais fait maison recommande sans hésitation,2024,5
ERIC R,140ericr,2024-05-12,Les petits plus qui font la différence ..,5.0,couples,6,"Un restaurant dont les plats proposés sont bien travaillés. Les vins sont recherchés et s’accordent bien avec les mets ...ici on a envie de faire plaisir, enfin l’échange est convivial et intéressant. BRAVO à vous trois.. je recommande !!",Frazarin Bistrot Franco Italien,restaurant dont plat proposés bien travaillés vins recherchés saccordent bien mets ici envie faire plaisir enfin léchange convivial intéressant bravo trois recommande,2024,5
Maria D,J4535PSmariad,2024-05-08,Excellent,5.0,family,2,"Restaurant vraiment délicieux, de l'entrée au dessert... L'accueil était tout simplement parfait.   Je vous recommande vivement cet endroit!",Frazarin Bistrot Franco Italien,restaurant vraiment délicieux lentrée dessert laccueil tout simplement parfait recommande vivement cet endroit,2024,5
Pizzaio,sandrinerQ8140HW,2024-05-08,Excellent,5.0,friends,31,Agréable surprise nous nous sommes régalés avec des produits frais. Le personnel est très agréable. La qualité au rendez vous . Je conseille ce petit restaurant au goût italien.,Frazarin Bistrot Franco Italien,agréable surprise somme régalés produits frais personnel très agréable qualité rendez conseille petit restaurant goût italien,2024,5
Agent M,Agent_Max1469,2024-04-15,Parfait,5.0,couples,154,"Nous avons découvert ce restaurant via trip advisor. 
Les gérants sont très sympathiques et expliquent très bien le concept du restaurant. 
Nous avons passé un moment très agréable et nous avons extrêmement bien mangé. ",Frazarin Bistrot Franco Italien,avon découvert restaurant via trip advisor gérants très sympathiques expliquent très bien concept restaurant avon passé moment très agréable avon extrêmement bien mangé,2024,4
Sogi,Wanderer01943286891,2024-04-06,Le plaisir a l’état pur !,5.0,family,3,"Parfait.. de l’accueil au dessert! une vraie émotion culinaire. Les 3 associés proposent une restauration goûteuse, dans une ambiance chaleureuse à ne manquer sous aucun prétexte !",Frazarin Bistrot Franco Italien,parfait laccueil dessert vraie émotion culinaire associés proposent restauration goûteuse ambiance chaleureuse manquer sou aucun prétexte,2024,4
Céline,Cerealine,2024-04-02,Parfait !,5.0,couples,10,Excellent ! Les mélanges de saveurs s'équilibrent et s'accordent de manière surprenante et l'ensemble marche très bien. Nous avons également été très bien accueilli et avons passé un bon moment au Frazarin. Le plus: un rapport qualité/prix excellent avec un petit menu à 20 ou 25€ le midi ! ,Frazarin Bistrot Franco Italien,excellent mélanges saveurs séquilibrent saccordent manière surprenante lensemble marche très bien avon également très bien accueilli avon passé bon moment frazarin plus rapport qualitéprix excellent petit menu midi,2024,4
Escape04719679318,Escape04719679318,2024-03-25,Le Frazarin c’est cool ! c’est bien !!,5.0,friends,1,"Super accueil ! Super restau ! Plats originaux !
Bravo ! Continuez ainsi ! Merci à toute l’équipe ! Vous nous faites du bien !",Frazarin Bistrot Franco Italien,super accueil super restau plat originaux bravo continuez ainsi merci toute léquipe faites bien,2024,3
luc,Navigator41004616938,2024-02-28,Magnifique cuisine bei-italienne,5.0,friends,8,"Très belle découverte. Carte italienne restreinte mais travaillée par des anciens de l’institut Bocuse.
Excellent rapport qualité prix et vin de très bon niveau.
Je recommande vivement",Frazarin Bistrot Franco Italien,très belle découverte carte italienne restreinte travaillée anciens linstitut bocuse excellent rapport qualité prix vin très bon niveau recommande vivement,2024,2
Jul_Bbx,Jul_Bbx,2024-02-17,Peu et trop,3.0,couples,48,"Peu dans l’assiette et trop dans l’addition !
À entendre, les tables d’à côté partagées.
Gustativement c’est inégal, vous trouverez beaucoup mieux à Lyon. 
Passez votre tour",Frazarin Bistrot Franco Italien,peu lassiette trop laddition entendre table côté partagées gustativement cest inégal trouverez beaucoup mieux lyon passez tour,2024,2
Sylvie C,sylviecF859RH,2024-02-14,Expérience à renouveler 😘,5.0,solo,1,"Amazing and delicious refined dishes and wine. Original, mariage créatif entre mer et terre. Accueil chaleureux et convivial. Warmly recommended.",Frazarin Bistrot Franco Italien,amazing and delicious refined dish and wine original mariage créatif entre mer terre accueil chaleureux convivial warmly recommended,2024,2
Jang Won Young,helissio0751,2024-02-13,Très bonne découverte,5.0,family,12,"Excellente nourriture et excellent rapport qualité!
Service gentil et nourriture généreuse !
N’hésitez pas à y aller",Frazarin Bistrot Franco Italien,excellente nourriture excellent rapport qualité service gentil nourriture généreuse nhésitez aller,2024,2
Gaëtan F,387ga_tanf,2024-02-09,Parfait de A à Z,5.0,family,3,"Parfait du début à la fin !! Service et cuisine au top . Allez y les yeux fermés ! 
On reviendra sans hésiter, merci à toute l’équipe pour votre accueil !",Frazarin Bistrot Franco Italien,parfait début fin service cuisine top allez yeux fermés reviendra sans hésiter merci toute léquipe accueil,2024,2
olivier c,Y8272TNolivierc,2024-02-08,Amazing,5.0,friends,1,"Ambiance agréable, cosy et chaleureuse la Cuisine franco-italienne est excellente et raffinée bravo aux trois compères.",Frazarin Bistrot Franco Italien,ambiance agréable cosy chaleureuse cuisine francoitalienne excellente raffinée bravo trois compères,2024,2
Nolwenn C,472nolwennc,2024-02-02,Très beau dîner,5.0,friends,1,"Super dîner, superbe ambiance! Les plats étaient aussi beaux que bons des entrées au dessert c’était impeccable ! 
Allez y les yeux fermés 
1000 mercis à toute l’équipe de Frazarin",Frazarin Bistrot Franco Italien,super dîner superbe ambiance plat aussi beau bons entrées dessert cétait impeccable allez yeux fermés mercis toute léquipe frazarin,2024,2
didier f,Z126LAdidierf,2024-01-29,Magique,5.0,couples,10,"Tout simplement magnifique, une découverte à chaque plat, avec l'accord mets et vins c'est magique. L'acceuil est convivial. ",Frazarin Bistrot Franco Italien,tout simplement magnifique découverte chaque plat laccord mets vins cest magique lacceuil convivial,2024,1
Jandaux J,jandauxj,2024-01-08,Déjeuner de collegues,5.0,friends,1,"Déjeuner de collègues. Bon et bien servi. 
Top et rapide. 
Y aller sans hésiter 
Merci pour la pensée d anniversaire 🥳 ",Frazarin Bistrot Franco Italien,déjeuner collègues bon bien servi top rapide aller sans hésiter merci pensée anniversaire,2024,1
Gathelier V,verog816,2023-12-20,Superbe !,5.0,friends,38,"Superbe, Bravo,  bravo  à toute l’équipe. 
3 fois cette semaine..j’aurais tout testé 3 entrées, 3 plats 2 desserts. Tout est superbe. 
Cuisine superbe, Conseil Vin idem, Service idem,  une très très belle équipe.
Je recommande ++++",Frazarin Bistrot Franco Italien,superbe bravo bravo toute léquipe fois cette semainejaurais tout testé entrées plat dessert tout superbe cuisine superbe conseil vin idem service idem très très belle équipe recommande,2023,12
maxrvp20,maxrvp20,2023-12-16,Super bistro franco italien.,5.0,friends,924,"Un excellent petit restaurant aux accents franco italien ! C’était délicieux de l’entrée au dessert.  On s’est régalés ! Le service était parfait également, aux petits soins ! Une bien belle adresse où nous reviendrons sans hésiter !",Frazarin Bistrot Franco Italien,excellent petit restaurant accent franco italien cétait délicieux lentrée dessert sest régalés service parfait également petits soins bien belle adresse reviendrons sans hésiter,2023,12
PY,francoispH6889IN,2023-12-15,SANS HÉSITER,5.0,friends,21,"2eme visite après une première découverte convaincante il y a quelques semaines.
Un vrai plaisir d'entrer dans ce restaurant : accueil chaleureux et attentioné, carte limitée mais gage d'excellents plats du début à la fin à la présentation soignée et goûteux.
Les avis qui m'ont amené ici reflètent totalement la réalité. J'y retournerai.",Frazarin Bistrot Franco Italien,eme visite après première découverte convaincante quelques semaines vrai plaisir dentrer restaurant accueil chaleureux attentioné carte limitée gage dexcellents plat début fin présentation soignée goûteux avis mont amené ici reflètent totalement réalité retournerai,2023,12
Razi O,razio2017,2023-12-14,Super!,5.0,business,39,"Concept sympa, petit restau moderne et convivial 
Aux petits soins et plats juste excellent
De l entre au dessert ça reste créatif et bon 
À faire",Frazarin Bistrot Franco Italien,concept sympa petit restau moderne convivial petits soins plat juste excellent entre dessert reste créatif bon faire,2023,12
Olivier R,olivierr760,2023-12-09,Magnifique,5.0,business,537,"Une petite pépite 
Le personnel est très avenant et la cuisine de très grande qualité 
Un rapport qualité prix à faire pâlir la concurrence 
De l aile de raie au menu du midi pas banal mais une assurance de manger de l ultra frais
Très bien conseillé pour le vin 
Tout était parfait ne changez rien",Frazarin Bistrot Franco Italien,petite pépite personnel très avenant cuisine très grande qualité rapport qualité prix faire pâlir concurrence aile raie menu midi banal assurance manger ultra frais très bien conseillé vin tout parfait changez rien,2023,12
