restaurant;url;info
Bikube Lyon - Restaurant;https://www.tripadvisor.fr/Restaurant_Review-g187265-d28100759-Reviews-Bikube_Lyon_Restaurant-Lyon_Rhone_Auvergne_Rhone_Alpes.html;{'Notes et avis': {'NOTE GLOBALE': '5,0', 'CUISINE': 'N/A', 'SERVICE': 'N/A', 'RAPPORT QUALITÉ-PRIX': 'N/A', 'AMBIANCE': 'N/A'}, 'Détails': {'FOURCHETTE DE PRIX': '6,00\xa0€-18,00\xa0€', 'CUISINES': 'Méditerranéenne', 'REPAS': 'Petit déjeuner, Déjeuner, Dîner, Brunch', 'ÉTOILES MICHELIN': 0}, 'Emplacement et coordonnées': {'ADRESSE': '9 Rue Saint-théodore, 69003 Lyon France', 'EMAIL': 'restolyon@bikube.co', 'TELEPHONE': '+33 4 51 42 04 54'}}
Frazarin Bistrot Franco Italien;https://www.tripadvisor.fr/Restaurant_Review-g187265-d23110895-Reviews-Frazarin-Lyon_Rhone_Auvergne_Rhone_Alpes.html;{'Notes et avis': {'NOTE GLOBALE': '5,0', 'CUISINE': '4,9', 'SERVICE': '4,9', 'RAPPORT QUALITÉ-PRIX': '4,9', 'AMBIANCE': '4,9'}, 'Détails': {'FOURCHETTE DE PRIX': '16,00\xa0€-38,00\xa0€', 'CUISINES': 'Italienne, Française, Saine', 'REPAS': 'Déjeuner, Dîner, Boissons', 'ÉTOILES MICHELIN': 0}, 'Emplacement et coordonnées': {'ADRESSE': '23 Rue De Condé, 69002 Lyon France', 'EMAIL': 'bistrot@frazarin.com', 'TELEPHONE': '+33 9 82 39 92 73'}}
Les Terrasses de Lyon;https://www.tripadvisor.fr/Restaurant_Review-g187265-d3727154-Reviews-Les_Terrasses_de_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html;{'Notes et avis': {'NOTE GLOBALE': '4,5', 'CUISINE': '4,5', 'SERVICE': '4,3', 'RAPPORT QUALITÉ-PRIX': '3,8', 'AMBIANCE': '4,3'}, 'Détails': {'CUISINES': 'Française', 'RÉGIMES SPÉCIAUX': 'Convient aux végétariens, Options végétaliennes, Options sans gluten', 'REPAS': 'Déjeuner, Dîner', 'ÉTOILES MICHELIN': 1}, 'Emplacement et coordonnées': {'ADRESSE': '25 Montee Saint Barthelemy, 69005 Lyon France', 'EMAIL': 'florentine@relaischateaux.com', 'TELEPHONE': '+33 4 72 56 56 56'}}
Le Comptoir Des Cousins;https://www.tripadvisor.fr/Restaurant_Review-g187265-d12874430-Reviews-Le_Comptoir_Des_Cousins-Lyon_Rhone_Auvergne_Rhone_Alpes.html;{'Notes et avis': {'NOTE GLOBALE': '5,0', 'CUISINE': '4,8', 'SERVICE': '4,8', 'RAPPORT QUALITÉ-PRIX': '4,6', 'AMBIANCE': '4,8'}, 'Détails': {'FOURCHETTE DE PRIX': '13,00\xa0€-28,00\xa0€', 'CUISINES': 'Française, Européenne, Saine', 'RÉGIMES SPÉCIAUX': 'Convient aux végétariens, Options végétaliennes, Options sans gluten', 'ÉTOILES MICHELIN': 0}, 'Emplacement et coordonnées': {'ADRESSE': '31 Bis Rue Ney, 69006 Lyon France', 'EMAIL': 'lecomptoirdescousins@gmail.com', 'TELEPHONE': '+33 4 78 24 35 74'}}
Le Grand Réfectoire;https://www.tripadvisor.fr/Restaurant_Review-g187265-d15373478-Reviews-Le_Grand_Refectoire-Lyon_Rhone_Auvergne_Rhone_Alpes.html;"{'Notes et avis': {'NOTE GLOBALE': '4,0', 'CUISINE': '4,1', 'SERVICE': '4,1', 'RAPPORT QUALITÉ-PRIX': '3,8', 'AMBIANCE': '4,2'}, 'Détails': {'CUISINES': 'Française, Brasserie gastronomique', 'REPAS': 'Déjeuner, Dîner, Ouvert tard, Boissons', 'FONCTIONNALITÉS': ""Réservations, Places assises, Accessible en fauteuil roulant, Sert de l'alcool, Bar complet, Bières & Vins, Cartes bancaires acceptées, Service de table, Chèques-cadeaux disponibles"", 'ÉTOILES MICHELIN': 0}, 'Emplacement et coordonnées': {'ADRESSE': '3 Cour Saint Henri Grand Hôtel Dieu, 69002 Lyon France', 'EMAIL': 'info@legrandrefectoire.com', 'TELEPHONE': '+33 4 72 41 84 96'}}"
Agastache Restaurant;https://www.tripadvisor.fr/Restaurant_Review-g187265-d20287839-Reviews-Agastache_Restaurant-Lyon_Rhone_Auvergne_Rhone_Alpes.html;{'Notes et avis': {'NOTE GLOBALE': '5,0', 'CUISINE': '4,9', 'SERVICE': '5,0', 'RAPPORT QUALITÉ-PRIX': '4,9', 'AMBIANCE': '4,7'}, 'Détails': {'FOURCHETTE DE PRIX': '25,00\xa0€-42,00\xa0€', 'CUISINES': 'Française, Moderne, Saine', 'REPAS': 'Déjeuner, Dîner', 'ÉTOILES MICHELIN': 0}, 'Emplacement et coordonnées': {'ADRESSE': '134 Rue Duguesclin, 69006 Lyon France', 'EMAIL': 'contact@agastache-restaurant-lyon.fr', 'TELEPHONE': '+33 4 78 52 30 31'}}
Le Casse Museau;https://www.tripadvisor.fr/Restaurant_Review-g187265-d949361-Reviews-Le_Casse_Museau-Lyon_Rhone_Auvergne_Rhone_Alpes.html;{'Notes et avis': {'NOTE GLOBALE': '5,0', 'CUISINE': '4,8', 'SERVICE': '4,8', 'RAPPORT QUALITÉ-PRIX': '4,6', 'AMBIANCE': '4,9'}, 'Détails': {'FOURCHETTE DE PRIX': '10,00\xa0€-38,00\xa0€', 'CUISINES': 'Française', 'REPAS': 'Déjeuner, Dîner', 'ÉTOILES MICHELIN': 0}, 'Emplacement et coordonnées': {'ADRESSE': '2 Rue Chavanne, 69001 Lyon France', 'EMAIL': 'lecassemuseau@gmail.com', 'TELEPHONE': '+33 4 78 32 64 42'}}
Le Vieux Lyon;https://www.tripadvisor.fr/Restaurant_Review-g187265-d1605401-Reviews-Le_Vieux_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html;{'Notes et avis': {'NOTE GLOBALE': '4,5', 'CUISINE': '4,4', 'SERVICE': '4,3', 'RAPPORT QUALITÉ-PRIX': '4,4', 'AMBIANCE': '4,4'}, 'Détails': {'FOURCHETTE DE PRIX': '15,00\xa0€-25,00\xa0€', 'CUISINES': 'Française, Européenne', 'REPAS': 'Déjeuner, Dîner', 'ÉTOILES MICHELIN': 0}, 'Emplacement et coordonnées': {'ADRESSE': '44 Rue Saint-Jean, 69005 Lyon France', 'EMAIL': 'N/A', 'TELEPHONE': '+33 4 78 42 48 89'}}
L'affreux Jojo;https://www.tripadvisor.fr/Restaurant_Review-g187265-d15114321-Reviews-L_affreux_Jojo-Lyon_Rhone_Auvergne_Rhone_Alpes.html;{'Notes et avis': {'NOTE GLOBALE': '5,0', 'CUISINE': '4,8', 'SERVICE': '4,9', 'RAPPORT QUALITÉ-PRIX': '4,7', 'AMBIANCE': '4,8'}, 'Détails': {'FOURCHETTE DE PRIX': '9,00\xa0€-15,00\xa0€', 'CUISINES': 'Italienne, Méditerranéenne, Saine', 'REPAS': 'Déjeuner, Dîner, Boissons', 'ÉTOILES MICHELIN': 0}, 'Emplacement et coordonnées': {'ADRESSE': '61 Rue de la Part-Dieu, 69003 Lyon France', 'EMAIL': 'laffreuxjojo69@gmail.com', 'TELEPHONE': '+33 4 72 64 25 86'}}
La Table d’Ambre;https://www.tripadvisor.fr/Restaurant_Review-g187265-d15087146-Reviews-La_Table_d_Ambre-Lyon_Rhone_Auvergne_Rhone_Alpes.html;{'Notes et avis': {'NOTE GLOBALE': '5,0', 'CUISINE': '4,9', 'SERVICE': '4,9', 'RAPPORT QUALITÉ-PRIX': '4,7', 'AMBIANCE': '4,7'}, 'Détails': {'FOURCHETTE DE PRIX': '28,00\xa0€-79,00\xa0€', 'CUISINES': 'Française', 'REPAS': 'Déjeuner, Dîner', 'ÉTOILES MICHELIN': 0}, 'Emplacement et coordonnées': {'ADRESSE': '46 Rue Franklin, 69002 Lyon France', 'EMAIL': 'restaurant.latabledambre@gmail.com', 'TELEPHONE': '+33 4 72 56 12 76'}}
