,user,user_profile,date_review,title,rating,type_visit,num_contributions,review
0,seb301087,seb301087,14 décembre 2024,« THE » adresse!,5.0,business,12,"Un très bon accueil, des plats à tomber par terre, la truffe mise à l’honneur en cette période de fête.
A l’occasion d’un déjeuner entre artisans, un moment incroyable.
Félicitations au chef, bravo au gérant pour ce concept avec une cuisine digne d’un étoilé, le prix en moins.
A voir absolument. SG"
1,MaMaMaEl,MaMaMaEl,11 décembre 2024,Top Top Top !!,5.0,family,10,"menu à 35€ comprenant entrée, plat, dessert 2 interludes + suppléments.
thé de champignons parfumés, très original offert avant le repas.
apéro maison très délicat parfumé à l’agastache.
tout le repas était délicieux : foie gras et châtaignes torréfiées, Noix de Saint-Jacques chou poivre de timut ; merlu et betterave ;  dessert et interludes merveilleux…
assiettes très chaudes.
le chef passe régulièrement et recommande le vin rouge (Loire volcanique, éclat de granit 2023, domaine sérol bio, très bon)
le serveur donne des explications pour chaque plat ou interlude.
Top Top Top !!"
2,Inox69,Inox69,1 décembre 2024,Excellent,5.0,friends,145,"La carte est très courte et  les plats sont très bien travailles. Cuisine savoureuse,très raffinée. Le service est impeccable "
3,Den,Chrisden8,12 novembre 2024,Que du plaisir….allez y….!,5.0,couples,6,"Toujours autant de saveurs,de surprises…de découverte d’une cuisine raffinée et inspirante…Un plaisir des yeux et des papilles…bravo Chef et Merci Mathieu pour votre accueil."
4,phalae57,phalae57,4 novembre 2024,À tester de toute urgence !,5.0,couples,41,"Une très belle adresse pour ravir les papilles. De notre première expérience (qui ne sera pas la dernière), tous les plats étaient maîtrisés,  tant dans l’association des saveurs, parfois surprenantes, que dans la justesse des cuissons. Un délicieux moment !"
5,Jakline C,jaklinec2023,19 juillet 2024,Un seul mot  : parfait,5.0,family,10,"Pour la deuxième fois dans ce restaurant 
De l entrée au dessert ,un plaisir pour les yeux et les papilles .
Félicitation au chef 
A conseiller sans hésiter."
6,Bruno H,lacB_12,26 juin 2024,Excellent rapport qualité prix,5.0,couples,352,"Excellent rapport qualité prix. Découverte de la nouvelle saveur agastache entre l' anis, le fenouille et la menthe ... Nous reviendrons cette fois-ci nous prendrons les amuses bouches en supplément qui ont l'air aussi innovants que les plats. Le seul bémol de ce restaurant est son succès et les 2 mois d'attente pour avoir une place."
7,Fayolle L,fayollelucile,20 mai 2024,Déception,3.0,couples,5,"Nous attendions ce repas avec impatience avec tous ces commentaires positifs et nous avons vraiment été déçus. Les entrées étaient fades, les plats acceptables et le dessert très déséquilibré (au fruit de la passion que nous adorons d’habitude mais la c’était très très acide). Bref un restaurant moyen alors qu’on s’attendait à quelque chose de très bon.
Seule mention positive : le confit d’oignon qui était très bon."
8,Le Gourmandin,lepetitgourmandin,13 mai 2024,Très belle découverte,5.0,family,28,"Excellent rapport qualité /prix. Une bonne recherche dans la créations des plats et  des ""intermèdes"" proposés. 
Je précise également, que la carafe d'eau micro filtrée (gazeuse ou non) n'est pas facturée, suffisamment rare pour être soulignée.   
Je comprend pourquoi ce restaurant est complet trés longtemps à l'avance.
Je recommande et j'y reviendrais avec grand plaisir."
9,Caroline C,H6847UJcarolinec,10 mai 2024,Magique,5.0,couples,5,La magie des saveurs tout le long du repas…. Avec des interludes incroyables. Digne des plus grands restaurants à un prix plus qu’abordable ! Un seul mot : merci 🤩 et à très bientôt
