,user,user_profile,date_review,title,rating,type_visit,num_contributions,review
0,Titouan T,66titouant,8 janvier 2025,Ils ont été super avec nous vraiment foncer les yeux fermés,5.0,couples,1,Très bon moment je conseille fortement c’est super bon des produits locaux et le restaurant est très propre rien à dire !!
1,celian g,celiang2025,5 janvier 2025,Restaurant de qualité mais déçu du service client,3.0,friends,1,"Un bon restaurant proposant de la viande de très bonne qualité. Nous avions choisi cette adresse pour fêter un anniversaire autour d’une jolie table d’amateurs de viande.

Nous avons très bien mangé, et le service a été dynamique. Rien à redire sur le repas.
Cependant, nous avons été énormément déçus par le manque d’esprit commerçant au moment de régler l’addition (1400 €). On nous propose café ou digestif, et nous soumettons gentiment l’idée au serveur d’offrir un petit verre de digestif. Celui-ci répond : « J’offre la 2ᵉ tournée ».

Bon joueur, chacun de nous commande donc un digestif pour ne pas se laisser abattre. ;)
Une fois le verre terminé, on nous invite à payer. Nous répondons alors que nous attendons le digestif « offert ». La réponse est simple : « Vous payez d’abord. » Nous nous exécutons, et finalement la tournée arrive. Mais quelle ne fut pas notre surprise en voyant… 12 verres de chartreuse !

Quand on s’avance en disant « Je vous offre la 2ᵉ tournée », on s’attend à ce qu’elle soit identique à la première... Dommage que cette fin d’expérience ait été gâchée par un manque d’esprit commerçant. Inutile d’être parfait, mais il ne faut pas non plus en faire une mauvaise publicité auprès de nos proches. Nous restons donc mitigés sur cette expérience client.

Cordialement,"
2,Chartreuse69,Chartreuse69,13 décembre 2024,Viandes d’exception dans un écrin chaleureux !,5.0,friends,37,"Que dire…du plaisir à l’état pur chez BLO. Viandes d’exception, parfaitement cuites, accompagnements délicieux (et on peut demander un peu de rab sans problème, comme annoncé en début de service), des références de vins magnifiques, une équipe formidable, et un lieu chaleureux comme un écrin !
Bref on a adoré cette soirée . Merci!"
3,michalond,michalond,19 novembre 2024,Mi figue mi raisin,3.0,family,3,"La viande succulente avec une belle cuisson, nous avons pris du wagyu pour 2 personnes et une viande persillée pour deux personnes.
Par contre très déçu qu on nous serve une bouteille de vin blanc juste posée dans un coin de table, je pense que pour un restaurant de ce type, un sceau avec des glaçons c est un minimum.
Surpris aussi des petites quantités concernant les accompagnements, 
Nous étions 4, le saladier de frite est plus pour deux personnes, même chose pour la salade et le plus surprenant un ramequin de potirons qui est servi dans tout les restaurants pour une seule personne mais pas pour quatre ! 
On y retournera quand même car la viande est exceptionnelle, en espérant qu on est tombé sur un mauvais jour.
Je précise qu on nous n avons pas demandé de frites supplémentaires donc on ne peut pas dire si on les auraient payées ou pas .
J espère que la prochaine fois les accompagnements seront plus généreux."
4,crunchy33,crunchy33,3 septembre 2024,Fuyez!!! Pas du tout à la hauteur des prix pratiqués!,2.0,solo,5,"Service déplorable! Arrivé à 20h30, prise de commande à 21h00 et tjrs pas pu boire au moins un verre d’eau! Commandé une assiette de charcuterie, chiffonnade de  de jambon cuit, jambon cru et mortadelle jetés en boule sur une planche!!! Ça faisait longtemps que j’avais pas mangé une planche de charcuterie aussi mauvaise! et prix exorbitant 26€! lamentable on se fout du client!! Plateau de fromage bof avec confiture abricot bonne maman!
Je ne fais pas souvent de commentaires mais là je ne peux pas me retenir…. De plus ce soir là je n’étais pas le seul à être mécontent! 
Point positif, le patron a offert la planche de charcuterie! Ça rattrape … à vous de voir…"
5,Anne O,anneoN236AD,1 septembre 2024,Déçu,2.0,couples,2,"Service souriant mais grande déception car notre choix pour la côte de bœuf espagnole Rubia a été remplacée au dernier moment par un autre morceau de la même région beaucoup plus grasse avec peu de viande au point qu’ils ont complété avec 150g d’onglet (dans le cercle rouge)..soi-disant rupture de produit..or la table voisine a pu commander le fameux Rubia..
Ça fait très cher le morceau d’onglet ..j’attendais d’une telle adresse plus de professionnalisme en nous représentant la carte pour refaire un choix. En bref ce n’était pas l’orgasme attendu.."
6,Manon A,manonaF6379TS,28 août 2024,Top 👍,5.0,friends,1,"Tout a été parfait! La qualité des produits est au rendez-vous, mais le service et l’accueil on été top. Je recommande!!"
7,Carla B,carlabS2685AN,25 août 2024,Excellent !,5.0,couples,1,"Endroit vivant, chaleureux et serveurs très aimable ! je conseille fortement si vous n'avez pas peur des portions généreuses !"
8,Sylvie J,27sylviej,25 août 2024,Excellent restaurant,5.0,family,53,"Nous avons passé un excellent moment au BLO, accueil chaleureux, service de qualité et surtout, des morceaux de bœuf incroyablement bon!"
9,Irene6986,Irene6986,4 août 2024,"Très bonne cuisine, et service sympa.",5.0,couples,3,"Restaurant bien situé, pas loin de la Place Carnot.  
Recommandé par des amis, c'est bien satisfaisant: très bonne cuisine, et service sympa."
