,user,user_profile,date_review,title,rating,type_visit,num_contributions,review
0,Patou B,55patoub,21 décembre 2024,Super bouchon Lyonnais,5.0,family,1,"Excellent. Au top. Un repas à la perfection et d’une qualité exceptionnelle. Très copieux, vous êtes sûre de ne pas sortir avec la faim. Bravo à l’équipe pour leur service, leur rapidité et leur gentillesse. Joyeux Noël à tous🎅🎄🎁"
1,annaK123017,annaK123017,17 décembre 2024,Décevant.,3.0,family,75,"Très déçue! J'avais réservé mais nous avons été placés en sous sol, et non pas dans la belle pièce au niveau de la rue. Le sous sol est très bruyant et bien moins agréable, je n'aurais pas  réservé ici pour toute la famille si j'avais su qu'on allait être en bas. Les plats  sont assez moyens et franchement le restaurant ne mérite pas sa renommée lyonnaise."
2,PaprikaSwitzerland,PaprikaSwitzerland,10 décembre 2024,Très belle expérience,5.0,couples,200,"J’y suis allée pendant la fête des lumières et malgré beaucoup de monde, le personnel a su gérer très rapidement l’attente. Les plats sont généreux et excellents, avons pris les quenelles, le suprême de volaille avec sauce aux morilles avec très peu de morilles hélas ! le service est efficace, sympathique et c’est une très belle idée de partager la table avec des inconnus. Malgré cela je trouve la note un peu salée."
3,Br1202,br1202,7 décembre 2024,A tester sans modération,5.0,friends,129,"En week-end pour la Fête des Lumières à Lyon, nous cherchions un restaurant sympa vers 16 h. Nous sommes allés Au Lyonnais et avons eu une très belle surprise !

Le personnel est charmant, le service a été rapide, et les plats sont à la fois bons et généreux. Nous sommes très contents de notre choix, d’autant plus que ce restaurant n’est pas un attrape-touristes.

Une adresse à recommander !"
4,Epicurien4064,Epicurien4064,7 décembre 2024,Un grand Huuuuuuuummmmmm,5.0,family,136,"Waouh et Huuummm
Comment mieux résumer que par ces 2  onomatopées ce déjeuner dominical au ""Bouchon Les Lyonnais""
Ayant réservé pour 14h nous nous sommes présenté 1h avant en raison d'un impondérable de milieu d'après-midi. Après une courte discussion avec les restaurateurs, ces derniers nous trouvent 2 places.
Au menu
Gratine de foies de volailles et Gratinée d'oignons
Gratin de ravioles du Dauphiné et Feuilleté Lyonnais
Et pour terminer 2 tartes à la pralines
Un enchainement de plats mêlant, caractère, saveurs, onctuosité, douceur.... du goût, du goût, encore du goût et toujours du goût.
De bout en bout, chaque plat provoqua des explosions de saveurs et de plaisirs
Au final un très très très bon, restaurant dans lequel je reviendrai sans hésiter"
5,Trek41639735465,Trek41639735465,7 décembre 2024,A éviter,2.0,friends,5,Cuisine très très moyenne. Tête de veau très quelconque . Un mauvais rapport qualité/prix. Il y a bien mieux en bouchon!
6,Gilles D,gillesd988,21 novembre 2024,"Ouais, bof....",3.0,couples,15,"L'ambiance est sympa, le personnel aussi. Le service est rapide. Maintenant,  au niveau de ce qui est servi, on s'attendrait à ce que cela soit vendu 25 % moins cher, minimum. C'est pas mauvais,  mais ce n'est pas au bon prix. Pour dire, j'ai finalement préféré manger au bouillon de la Croix Rousse. "
7,Frederic C,fredericcR5488YZ,19 novembre 2024,À éviter,1.0,family,11,"Passer votre chemin 

Un accueil catastrophique je suppose typiquement lyonnais, ils doivent vouloir concurrencer la réputation des serveurs parisiens 

En clair adresse à éviter"
8,Claire1328...,CLAIREB-13530-28000,9 novembre 2024,A faire et à refaire,5.0,family,16,"Ambiance et cadre typique d'un bouchon Lyonnais. Personnel agréable et avenant. Produits et assemblages de qualité, prix correct."
9,Celine B,epicurienne18,4 novembre 2024,Un classique,4.0,friends,822,"Cuisine de bouchon bien exécutée, dans le cadre typique avec un service très agréable.
Ce qu'on attend d'un bon repas lyonnais. "
