,user,user_profile,date_review,title,rating,type_visit,num_contributions,review
0,riffraff2018,riffraff2018,6 janvier 2025,Une icone lyonnaise,5.0,family,107,"On ne s'en lasse pas et on n'est jamais déçu. Malgré la réputation (justifiée) de l'établissement et la longue file d'attente (ce qui ne trompe pas) les tarifs restent mesurés et le personnel malgré la charge de travail est exemplaire de courtoisie et d'efficacité. L'ambiance est unique et la nourriture excellente.
Merci !!!"
1,Brigitte T,436brigittet,6 janvier 2025,Un peu déçus,4.0,couples,6,"Bonjour,

D' habitude ,Nous apprécions toujours les mets , la bière à la brasserie, néanmoins cette fois- ci les frites qui accompagnaient le tartare n' étaient pas croustillantes! Plutôt molles et réchauffées !!
Nous avons redemandé quelques feuilles de salade verte en plus(car 2 feuilles avec le tartare) ;ces quelques feuilles supplémentaires ont été facturées! (Pas très commercial...)
Dommage pour 1 institution d' un tel renom!
Les serveurs sont en général Plutôt agréables ."
2,Ida G,J6997OLidag,2 janvier 2025,Déjeuner en famille,5.0,family,1,"Super moment à refaire 
Tout était parfait 👍
Personnel d une gentillesse au top un peu d attente mais cela vaut le coup 
Merci"
3,DayTrip46118456630,DayTrip46118456630,1 janvier 2025,Bof,2.0,couples,3,"Bel endroit , service efficace mais cuisine banale . Plats sans originalité , présentation minimaliste et peu de saveurs"
4,Traveler50596520749,Traveler50596520749,31 décembre 2024,"Mauvaise expérience, nous n'avons pas été considérés comme des clients mais comme des pigeons!",2.0,couples,1,"Dommage, mon mari m'en avait tellement parlé en termes élogieux... Nous  y avons fêté tous les deux le nouvel an 2025. La Brasserie proposait un menu pour la Saint Silvestre, l'entrée bien, pour le plat principal nous nous réjouissions de manger un filet de boeuf Rossini, mais ohh surprise, malgré qu'il soit proposé au menu de la Saint Silvestre, il n'y en avait plus! Le dessert était immangeable...
Ensuite, nous avons acheté des verres et des assiettes de la brasserie, et en les déballant nous nous sommes apercus que non seulement elles étaient sales mais qu'en plus elles étaient ébréchées et complètement rayées et usées. La personne qui nous les avait vendues était en plus très impertinente et désagréable, on a eu l'impréssion de n'etre qu'un numéro de plus et de ne pas avoir été considérés comme clients mais comme des pigeons... Très mauvaise expérience, nous ne recommandons pas cet endroit."
5,orphée,Marineolivier39,31 décembre 2024,"Un sans faute, nous reviendrons",5.0,friends,30,"Un sans faute ! Première fois pour nous dans cette brasserie et tout était simplement parfait. Zéro attente car nous avions réservé, des serveurs élégants, agréables et drôles, pleins de bienveillance malgré le grand nombre de clients. On n’a jamais eu l’impression d’être une simple table. Même si la cuisine est simple tout est divin, personne n’a été déçu. Tout le monde a été au petit soin
Nous reviendrons c’est sur !"
6,Roam67666776295,Roam67666776295,30 décembre 2024,"La brasserie Georges, courage fuyons !",1.0,family,1,"La Brasserie Georges a tout perdu, son âme, son bruit et ses sourires. Le service est indigne du lieu et si jadis les chef de rang avaient tous la classe, aujourd'hui c'est le niveau d'une aire d'autoroute. L'assiette est juste honnête, il faut dire que ce n'est pas de la grande cuisine. Bref, tout ce qui faisait le charme de cette adresse s'est évaporé, c'est finalement devenu un attrape touriste qui ne va pas faire honneur à l'art de la table tricolore, courage fuyons et faisons le savoir, la Brasserie Georges n'existe plus que par le nom..."
7,Morel S,morels580,30 décembre 2024,Mauvaise surprise où est l'âme de la Brasserie Georges.,1.0,family,5,"Choqués, la Brasserie Georges est sur la mauvaise pente ! Attente, traitement de masse, accueil désagréable limite incorrect. Nous avons fait demi tour, pour aller dans un bouchon lyonnais qui a gardé son âme."
8,herve b,618herveb,28 décembre 2024,Accueil,1.0,family,2,"Serveurs extrêmement désagréables accueil lamentable 
Attrape touristes a déconseiller.
Je pense que l'accueil est a revoir"
9,linpomenina,linpomenina,27 décembre 2024,Mitigé,3.0,family,52,"Repas en famille avec 2 enfants.
Commençons par les points positifs : les plats que nous avons commandes sont bons la décoration et le le style est vraiment sympa la bière est bonne
Les points négatifs 
Longue attente dehors dans le froid (mais nous étions au courant) 
L'entrée des enfants est arrivée après leurs plats ?! (Limite)
Enfin que se passe t il a 15h30?? Plus de serveurs nous avons du attendre longuement pour le dessert et l'addition cela ternis complètement le repas. Personnels pas vraiment sympathiques et remarques moyennes. 
"
