,user,user_profile,date_review,title,rating,type_visit,num_contributions,review
0,Lucie Miguens,V3299KBluciem,4 janvier 2025,Incroyable,5.0,friends,10,"C’était incroyable service au top, plats frais et trop bons, belle vaisselle, bel endroit, prix satisfaisant je recommande"
1,Noémie M,63no_miem,1 janvier 2025,Très bon restaurant,5.0,friends,44,"Le menu pour le réveillon du nouvel an était très généreux et délicieux. L’ambiance du restaurant était super avec des petites animations, on a beaucoup aimé passer un moment dans ce restaurant!"
2,nuits de fourviere,Trek10056110525,1 janvier 2025,Très très bon restaurant,5.0,family,11,"Généreux,  copieux,  goûteux. Un vrai bon moment culinaire de saveurs italiennes. Le service est sympathique et réactif. "
3,Marie N,marienQ7954MI,15 décembre 2024,Déjeuner décevant,3.0,family,1,Un repas pour fêter l'anniversaire de mon fils. L'entrée était très bonne et servie rapidement avec notre apéritif. Rien à redire. Pour le plat principal mon fils a été servi 10 minutes avant nous. Mes pâtes à la truffe sont arrivées tièdes et les spaghettis à la vongole pour mon mari sont arrivés pratiquement froids il a fallu les réchauffer à notre demande et on a dû réclamer les 2 verres de lambrusco que nous avions commandé. Bref nous sommes repartis très déçus. Le restaurant ne désemplit mais la qualité n'est pas au rendez-vous....
4,Delphine L.,NeptuneBleue,11 décembre 2024,Un incontournable à Lyon !,5.0,family,39,"Le cadre est incroyable !
J'y vais quasiment à chaque fois que je viens à Lyon. 
Certainement la meilleure pâte à pizza que j'ai jamais mangé !
Pensez à réserver"
5,Mireile L,mireilel2024,11 décembre 2024,Déception,2.0,friends,1,"Très joli restaurant.Je commande un risotto aux truffes et l on me sert un risotto sans truffe.. Je le signale et l on me dit qu’il n y a plus de truffe( on ne prévient pas).On me s dit que l on va se débrouiller pour trouver une sauce, arômes pour mon risotto et l on m apporte un risotto ultra salé !!!! Le serveur ne l a pas compté dans l addition qui elle aussi fut salée !! Quel dommage."
6,Lili30340,aur_lieb924,7 décembre 2024,Très bon moment en famille,5.0,family,26,"Nous nous sommes régalés en famille. Nous avons passé un très bon moment.
Le service est parfait et tout est super bien organisé."
7,GYVON01,gyvon01,1 décembre 2024,Incontournable !,5.0,family,273,"Un super moment juste à côté de la cuisine. Un serveur hyper efficace.
Et que de dire de la nourriture ?! FAN-TAS-TI-QUE ! On a en a pour son argent. Qualité, quantité, présentation,… bref, un italien incontournable a Lyon.
Pensez à bien réserver en avance, bien en avance 
Merci et bravo à tout le personnel du restaurant"
8,denis l,713denisl,24 novembre 2024,trattoria   Carmelo,5.0,couples,94,"Très Joli endroit. On mange tres bien.tout est excellent y compris desserts Service efficace. 
 Avoir un téléphone pour lire la carte 
 A recommander"
9,Cedric R,162cedricr,24 novembre 2024,Super restaurant !! Je vous conseille fortement d’y aller 🤩,5.0,friends,6,"Super accueil, restaurant très conviviale nous avons étaient très bien reçu par Malik , je conseille fortement ce super restaurant le repas était fabuleux tout était très bon et délicieux,nous avons passé un super moment entre amis le cadre est super !
Pas besoin de prendre l’avion pour aller en Italie 🇮🇹 il faut tout simplement aller manger chez Carmelo🤩"
10,so,Sherpa59452026466,7 novembre 2024,toujours très bien,5.0,family,141,je réitère mon avis positif sur ce restaurant convivial et chaleureux. nous sommes revenus en famille et tout le monde a été conquis. la nourriture est très bonne (surtout la pizza aux truffes) et le cadre magnifique. je recommande les yeux fermés
11,BatRm,BatRm,3 novembre 2024,Expérience en demie teinte,3.0,couples,51,"Adresse trouvée par hasard il y a deux ans, j’avais hâte d’y retourner en étant à Lyon. 
Si les plats sont toujours aussi bons et l’ambiance très sympathique, le fait de savoir que Carmelo appartient à une chaîne change un peu mon regard sur ce restaurant. Les plats sont très bons, mais identiques aux autres adresses du groupe Big Mamma, tout en étant un peu plus chers qu’à Paris. Quant au service, s’il joue beaucoup trop sur le côté « italien », quitte à verser un peu dans le cliché, il est surtout très long à Lyon : plus de deux heures pour manger un plat et partager un dessert. 
En bref, adresse très sympathique pour manger italien, si vous n’êtes vraiment pas pressés. Si vous cherchez de l’authenticité, d’autres restaurants italiens moins conventionnels répondront sans aucun doute présents."
12,mathilde,Roving02358317999,2 novembre 2024,Voleur,3.0,couples,4,"Cadre très agréable et nourriture délicieuse, mais serveur, pas agréable et problème de payement car il a été compté trois fois au lieu de une  fois nous avons dû retourner nous faire rembourser au restaurant"
13,cri83260,cri83260,2 novembre 2024,A découvrir pour les amoureux de la cuisine italienne,5.0,family,564,"Typique italien, offrant des salles décorées avec goût et donnant des ambiances différentes. Le service est très agréable,  les plats comme chez la mamma,  du goût et copieux . "
14,VirginieA74,VirginieA74,27 octobre 2024,Dîner en famille au Top,5.0,family,168,"Super dîner typiquement italien, dans une ambiance topissime.
La déco est décalé, on adore.
Le dîner était délicieux. La pizza un délice et les pâtes à la truffe parfaites.
Les tiramisus ont eu du succès et alors la glace à la noisette une tuerie.
Tout était très très bons.
On reviendra c’est sur !!!
Un conseil réservé…"
15,Anne B,AnneB3345,23 octobre 2024,Très déçue par la qualité des plats et le prix,2.0,friends,4,"Spaghettis alle vongole avec 2 palourdes qui se battent en duel. Trop cuit. Sec, pas de sauce. Hyper déçu pour un plat à ce prix.
Dommage !"
16,kd p,489kdp,22 octobre 2024,Grazie a tutti !!!,5.0,family,10,"Equipe au top, cuisine excellente ... Si vous venez avec votre compagnon à 4 pattes, il sera autant choyé que vous ce qui est un plaisir lorsque nous revenons en France après un passage en Italie ou les animaux sont acceptés partout !!! Merci à l'équipe et aux cuisines pour cette excellente soirée"
17,christophe c,christophec586,21 octobre 2024,Incroyablement délicieux,5.0,friends,37,"Nous y sommes aller entre amis, et j’ai été impressionné par le lieu et la cuisine qui était délicieuse. Du coup, 3 jours plus j’y suis retourné en couple avec ma femme, qui a également tout adoré. Le lieu est magnifiquement décoré, on ne s’imagine pas ça en passant dans la rue. Et que dire de la cuisine, entre le tartare de veau, la burrata et les pâtes à la truffe dans la meule, la profiterole à la pistache, … tout est excellent. J’y retournerai avec mes enfants c’est sur! Et pour finir, le service est parfait, vraiment à l’écoute et de très bon conseil
Merci au Carmelo pour ces deux soirées, à bientôt"
18,Roms63000,Roms63000,14 octobre 2024,Un véritable coffre aux trésors,5.0,couples,57,"Carmelo, ""petit ""restaurant du Vieux Lyon, affiche une façade plutôt modeste, presque étriquée mais c'est une fois les portes franchies qu'il dévoile tous ses trésors.
La décoration est tout simplement fantastique et on ne soupçonne pas un instant la dimension gigantesque de son intérieur.
Les salles se succèdent, la première exposant une infinité de bouteilles de vin et autres spiritueux, la seconde une magnifique vaisselle en porcelaine du sol au plafond, enfin, un nombre incalculable de photos et affiches de grands classiques du cinéma italien et international vous guident jusqu'au sous-sol où se situe une salle plus intimiste, voûtée (probablement une ancienne cave) au charme et au romantisme certains. Voici pour la forme. En ce qui concerne le fond, à savoir la cuisine elle-même, le restaurant propose bon nombre de plats italiens traditionnels, certains revisités mais toujours à base de produits frais, de grande qualité et aux saveurs incomparables (mention spéciale aux pâtes à la truffe servies directement depuis une meule de Pecorino dans une vaisselle incroyable (casseroles de cuivre et couverts en argent). J'ose le dire, ce sont les meilleures pâtes que j'ai mangées à ce jour, Italie comprise. Et que dire du dessert, un tiramisu servi par le personnel à depuis un énorme plat en terre cuite, preuve si toutefois vous en doutiez encore que tout ici est fait maison. Enfin le personnel, solaire, jonglant habilement entre la langue de Molière et celle de De Vinci est d'une gentillesse et d'une authenticité rares et les prix sont tout à fait corrects au vu de la richesse tant gustative que visuelle proposée par cet établissement définitivement hors du commun."
19,jasama2,jasama2,13 octobre 2024,Pizzeria sans qualité particulière,3.0,family,13,Table réservée malgré cela attente importante avant d’avoir la table. Service rapide pâtes vongoles peu goûteuses loin de la qualité italienne. Cadre agréable très bruyant. Rapport qualité prix correct. On peut faire beaucoup mieux en qualité de nourriture.
20,Anna,Anna290173,12 octobre 2024,Belle découverte,4.0,family,46,"Décor sensationnel 
Personnel italienicosympatico
Ambiance conviviale 
Pâtes aux truffes excellentes
Pâtes aux palourdes peu garnies de crustacés 
Tiramisu excellent"
21,catherine b,catherinebC4151GX,12 octobre 2024,Super,5.0,family,2,"Restaurant italien parfait. La cuisine, le service , la déco …Tout est parfait.  Peut être éviter la salle en sous-sol qd on est un peu clostro!"
