,user,user_profile,date_review,title,rating,type_visit,num_contributions,review
0,Passenger40007341505,Passenger40007341505,8 décembre 2024,Seduite,4.0,family,2,"Je conseille ce restaurant .
Jolie brasserie ,plats excellents et copieux.
Serveurs agréables et rapides .
Nous y retournerons avec plaisir"
1,Claude A,370claudea,2 décembre 2024,Idéal pour un déjeuner très bon et agréable.,5.0,couples,5,"Un restaurant type brasserie très agréable et savoureux.
Serveur et serveuse avenants
Malgré leur tardive d'arrivée 14h35...
Merci à vous
Claude"
2,Cécile F,904c_cilef,14 novembre 2024,Belle découverte,5.0,solo,2,"Heureuse orientation et belle découverte !
Un dîner dans un cadre cosy, une assiette plus que complète, un accueil au top et des serveurs aux petits soins.
Je recommande."
3,Fred,FredLeBow,30 septembre 2024,Pas terrible,3.0,business,40,"Resto hyper bruyant à l’interieur. Le service n est pas très agréable. Les plats sont corrects … mais bon doute sur les œufs meurette … malade le soir même 😞
Je ne reviendrais pas ."
4,504vah,504vah,19 septembre 2024,Première fois pour nous et plutôt déçus .,3.0,friends,18,"La cuisine du déjeuner est correcte ( plat du jour copieux) , le service est rapide , le cadre est sympathique . Mais c'est très bruyant, les serveurs (se) sont hyper speed : ils courent dans tous les sens , pour avoir du pain ou pour payer la note impossible d'accrocher un(e) serveur(se) . Bref, on a envie de vite sortir pour prendre l'air . 
Et c'est dommage car il y a tout dans cet établissement pour que ce soit un endroit charmant . 
Je ne pense pas y retourner car nous n'avons pas réussi à apprécier le moment ."
5,Nissa,Basilicdenice,26 juillet 2024,Endroit agréable mais...,3.0,couples,3,"3 e fois que j y vais malheureusement ça c'est pas passé comme les 2 premières fois 
Serveuse désagréable qui n'accepte pas les critiques  sur sa sauce au poivre qui n étais pas au poivre🤷‍♀️ dommage..."
6,Eric V,Q4340PAericv,29 mai 2024,Très bonne table,5.0,business,8,"Très bonne adresse sur la place Carnot, rapport qualité prix très satisfaisant, cuisine maison savoureuse.
Je recommande vivement cette brasserie."
7,Gérard  G,g_rardg100,15 mai 2024,Repas assourdissant.,3.0,friends,1,"Endroit très bruyant où il faut hurler pour se faire entendre de son voisin. Plats corrects, rapport qualité prix correct. Serveuse peu aimable mais serveur aimable. Trop de tables dans ce resto."
8,Malokoksis,Malokoksis,10 mai 2024,Petite perle,5.0,family,132,"Super petit resto place Carnot , au top !
Les plats sont généreux, très bon et des produits de qualités. 
Le service impeccable, avec un serveur plus que sympathique. 
Adresse à garder absolument !"
9,So',sofit173,23 avril 2024,Très bon,4.0,friends,4,"Très bon restaurant ! Cuisine généreuse et très bonne. Un bon rapport qualité prix !
Personnel sympathique également. "
10,45viviane45,45viviane45,19 avril 2024,BON RESTAURANT,4.0,couples,91,"Bon restaurant, recommandé par notre hôtel. Carte du dîner avec  choix de 6 plats, de 16,50 à 22 €.
Peu d'intimité, avec nécessité de pousser la voix pour s'entendre.
"
11,walhalla254,walhalla254,4 avril 2024,Ptit dej,4.0,couples,366,"Petit déjeuner correct, avec de bons produits et service sympathique. Quoi demander de plus. Nous n'y avons pas mangé le midi ou soir, mais la carte proposait de bons petits plats, différents de la majorité des bouchons"
12,Dewulf,Dewulf59200,31 mars 2024,Une découverte grâce à ce site.,4.0,business,186,"Bon restaurant qui nous a servi avec célérité à notre demande un plat du jour de bonne facture.
Restaurant proche de Perrache, j'y retournerai sans problème."
13,Margot V,margotv535,4 mars 2024,Parfait!,5.0,family,12,"Nous avons débarquer dans ce restaurant avec nos deux petites filles et notre énorme chien… et quelle surprise! Des sourires, des serveurs et serveuses accueillants… et pour ne rien gâcher nous nous sommes régalé!!! Le tartare est tout simplement une tuerie! Et le plat du jour aussi! 
Un grand merci pour votre gentillesse!"
14,jostaw,Q6633VKjosianes,17 février 2024,Une bonne adresse,5.0,family,1,"Un agréable restaurant avec du choix 
Une cuisine raffinée avec des produits frais 
Service rapide et efficace 
Un moment sympa"
15,Gerard W,316gerardw,14 février 2024,Excellent,4.0,friends,4,"Excellente cuisine, simple mais raffinée. Je recommande particulièrement le plat du jour. Le fondant au chocolat en dessert était délicieux. Les prix sont abordables. Je vous conseille de réserver…."
16,Jean paul M,popolpao2004,10 février 2024,Bon copieux sympathique,5.0,family,201,"Toujours aussi sympathique et accueillant
Le sourire du service est aussi bien que la qualité de la cuisine
Plats simples mais généreux frais et excellents
La preuve c'est toujours plein
Un grand merci à toute l'équipe"
17,montagny201,montagny201,10 février 2024,restau  sympa,4.0,family,46,"restau sympa place  Carnot.  On s est vraiment  régalé  oeufs  meurette,  rumsteck,  gratin de ravioles, salade lyonnaise  tout était délicieux  Service rapide.  Prudent  de  réserver sa  table"
18,Leya67,Leya67,10 février 2024,Très chouette restaurant,4.0,friends,44,"Tout c'est sympa, simple et chaleureux chez Micheline. On y mange très bien (voire: très très bien), dans un décor coocooning et de bon goût mais sans chichis, et l'équipe est adorable. Une adresse à retenir et on y retourne avec plaisir !"
19,Amandineanthoniozblanc,Amandine01170,20 janvier 2024,Parfait,5.0,family,28,Repas parfait mais plat trop copieux. Cuisine traditionnelle et fait maison. Un plus pour le menu enfant proposé.
20,Olivier Paul,OlivierPaul73,17 janvier 2024,Heureux hasard,5.0,couples,117,"Nous avions besoin de chaleur  ce soir de janvier. Nous déambulant au hasard à la sortie de notre hôtel, une décoration sympa à travers la vitrine, du monde, des gens, visiblement heureux et de belles assiettes,  le beau sourire d’un membre du staff. Et hop, nous entrons!  Effectivement, endroit, très sympathique, le personnel est très chaleureux, la carte est simple mais très bien exécuté, Le cote du Rhône y est bon., c’est  tout ce dont nous avions besoin"
21,christelle m,christellem2,13 janvier 2024,Super découverte,5.0,couples,30,Très belle découverte. Accueil au top. Plats fait maison et familiaux. Et ils font bistrot aussi toute le journée. Nous vous le conseillons. 
22,Dominique V,dominiquev2024,1 janvier 2024,"Micheline, un prénom qui fleure bon la cuisine de maman.",5.0,family,6,"Intrigué et attiré par le nom, je réserve un jeudi soir pour 2…
Accueil très chaleureux… ambiance bistrot… 
Belle carte … pas trop de plats…
Apéro, plat, dessert… très sympa… le service est à l’écoute et très professionnel…
Bonne adresse"
23,lilou83orange,lilou83orange,10 décembre 2023,Moment très agréable,5.0,family,57,"Un super accueil dès notre arrivée. Installés confortablement nous avons très bien dîné : plats excellents (produits frais, saveurs exquises), serveuses et serveurs adorables.
Nous reviendrons sans hésiter..
Un grand merci pour ce repas."
24,lpsl69,lpsl69,26 novembre 2023,Agréable surprise.,5.0,couples,61,"Arrivée sans réservation. Ils ont fait le maximum pour nous accueillir malgré les tables bien remplies.
Service attentif. 
Qualité  et quantité au rendez-vous. 
Très bonne adresse. 
"
25,stan,Vacation43280996986,23 novembre 2023,Après un salon fatiguant,4.0,business,2,"Rien à redire, la qualité et la quantité sont là! L’ambiance est bon enfant, le cadre jovial. 
Je ne peux vous dire qu’une seule chose allez y"
26,Ecesu B,214ecesub,18 novembre 2023,Accueil sympa,5.0,couples,1,Un resto très chaleureux avec les repas très gourmands! Sercive rapide! Penser à réserver pour le soir.
27,baroudeurs35,baroudeurs35,31 octobre 2023,Dîner en famille,5.0,family,128,"De passage à Lyon pour le week-end de La Toussaint, nous avons dîner en famille dans ce restaurant trouvé via ce site. 
Nous n’avons pas été déçu. Les plats sont copieux, élaborés avec de bons produits. Les assiettes sont copieuses. Le cadre est très sympa. Nous vous recommandons ce restaurant."
28,Jean-Charles BOU,boujeancharles,29 octobre 2023,Très bon restaurant.,5.0,family,57,"Excellent restaurant près de la gare de Perrache. 
J'y ai dégusté à la carte un excellent magret de canard, à la fois savoureux, copieux et très digeste."
29,philippe r,pravas2016,13 octobre 2023,Bon restaurant,4.0,couples,6,"Très bonne cuisine, les plats sont copieux.
Le service a été rapide et serveur sympathique.
Nous reviendrons "
30,Antoine B,86antoineb,7 octobre 2023,Excellente adresse,5.0,family,11,"Très belle découverte à 2 pas de Perrache/Carnot. Produits et service de qualité. Excellent rapport qualité prix. Accueil chaleureux, service rapide, deco raffinée."
31,Anh T,anht588,5 septembre 2023,"Service rapide, bons plats",5.0,couples,3,"Les serveurs sont très sympa, actifs. Ils prennent la commande rapidement et les plats sont prêts dans pas longtemps. Prix raisonnable."
32,jeanclaude_kuhn,jeanclaude_kuhn,5 septembre 2023,Repas chez Micheline,5.0,solo,88,"Excellent accueil et repas bien sympathique, le rapport qualité prix me semble être très correct.
Je conseillerais volontiers à mes amis de connaître ce restaurant"
33,Alain R,alainrI5639XQ,29 juin 2023,Un bon moment dans la convivialité et le respect,5.0,family,1,"Cuisine exceptionnel et service irréprochable.
De plus, nous sommes restés tardivement et merci de ne pas nous avoir ""viré"" alors que cela aurait été complètement compréhensible.

Je recommande vivement ! 
"
34,juliette,juliette380,26 mai 2023,Bon moment sympa,4.0,none,78,"Nous avons été bien reçu, plats très corrects, copieux et bons. 
Nous recommandons cet établissement"
35,mourad a,123mourada,18 avril 2023,Excellente cuisine,5.0,couples,4,"Excellente cuisine, accueil chaleureux et agréable, je le recommande fortement 
Vivement.
Ses plats sont un vrai delice tres généreux pour la quantité
                "
36,lolo,D675QPlaurentb,25 mars 2023,Déjeuner très agréable,5.0,couples,8,Très bel endroit très bon plat un accueil chaleureux de bons professionnels entouré d'une équipe à la hauteur le serveur était particulièrement sympathique rien à dire je recommande fortement nous sommes de Nice et je reviendrai régulièrement y manger...... Merci lolo
37,Alex,Alex69002x,18 mars 2023,A fuir,1.0,business,1,Serveur (certain max) d’apparence sympathique mais d’une belle hypocrisie. Se moque des clients avec ces petites copines en terrasse. Belle mentalité
38,Boubay,Boubay,17 mars 2023,Une bonne adresse,4.0,couples,923,"Même s'il est difficile de juger sur un seul repas, les plats que nous avions (saucisson lyonnais et quenelle de brochet) étaient fait maison et bons. La mousse au chocolat en dessert était bonne également. "
39,Hortensias62,Hortensias62,17 mars 2023,Bonne brasserie,4.0,couples,173,"Encore une fois, je déplore que la note bien n’existe pas! Je mets très bien parce que je ne veux pas mettre moyen.
Brasserie tout à fait correcte. C’est bon, le service est rapide, les portions sont généreuses et les plats sont servis chauds.
Le personnel est sympathique et les prix sont raisonnables."
40,FaustineDijon,FaustineDijon,8 mars 2023,Tres bonne cuisine,4.0,family,115,"Bon accueil, attente à l’extérieur mais pas très longue. 
Plats très bons.
Bonne adresse. Il est conseillé de réserver !!"
41,Frenchbackpacker,Frenchbackpacker1,27 février 2023,Tout dépend des serveurs...,2.0,none,3,"Je ne suis pas de Lyon et je me faisais régulièrement un plaisir de faire découvrir ce petit bijou à mes amis lyonnais, mais attention, il faut tomber sur la bonne équipe. Un lundi (9 janvier 2023) : un super duo de serveurs bienveillants, à l'humour fin et communicatif et fiers de leur cuisine. Ce soir : un serveur méprisant et agressif m'a jugé ""condescendant (!!!)"" et a cru que je remettais en cause ses compétences quand je lui ai demandé, prévenant, si nous n'étions pas trop tard pour le chef (il était 20h30). De même, son collègue prenait plus tard + de 200 € de règlement comme une machine, sans nous adresser un regard, voire un sourire, et encore moins un merci...  Je me suis retenu d'exprimer mon indignation à cette fine équipe pour ne pas mettre mal à l'aise mes amis ou les autres clients présents, mais l'attitude de l'équipe en salle n'était pas à la hauteur du cuisinier et de ses plats."
42,maxrvp20,maxrvp20,19 février 2023,Un bon petit bistro !,4.0,friends,928,"Sympathique petit restaurant, les mets sont bons, les quantités sont vraiment généreuses , l’accueil est très sympa ! Rien à dire, ça fait totalement le taff , les frites maisons sont très bonnes"
43,Anjy W,738angeliquem,7 février 2023,Belle découverte !,5.0,couples,20,"Quel délice et belle découverte des œufs moeurette. Dommage plus de place pour goûter ces beaux desserts, la prochaine fois 😁"
