,user,user_profile,date_review,title,rating,type_visit,num_contributions,review
0,Eva D,Evananas01,26 octobre 2024,Vous méritez 1 ⭐️,5.0,friends,9,"J'ai eu la chance de découvrir ce restaurant avec mon groupe d'amis pas végétariens du tout. Nous avons tous été éblouis par la réalisation du menu. L'accord mets et vins sublime l'expérience. Le service est très professionnel.
Nous avons passé une magnifique soirée. 

Mention spéciale pour le livre de recettes qui nous permet encore de rêver à la maison ❤️"
1,philippe m,philippemV1056JJ,12 octobre 2024,Superbe !,5.0,couples,1,"Culina Hortus c'est d'abord une ambiance chaleureuse dans des matériaux nobles de construction : pierre, bois, pisay, verre
c'est ensuite une invitation à se laisser porter par une succession de plats gastronomiques, associations subtiles d'arômes, de goûts, de senteurs, parfois connues et souvent étonnantes; les papilles sont apprivoisées et stimulées avec subtilité, et on se laisse porter par les descriptions des contenus des assiettes et par la créativité des cuisiniers; neufs plats, tous différents, d'une ingéniosité et d'une créativité rare... dans le monde végétal et floral. Culina Hortus c'est une expérience pour les gastronomes qui aiment se laisser surprendre et acceptent que tous les goûts sont dans la nature et qu'ils ne demandent qu'à être testés. Bravo, et surtout continuer à nous étonner. Philippe et Françoise"
2,Excursion48944603331,Excursion48944603331,22 juillet 2024,Bof,3.0,friends,4,"Dans une ambiance tamisée, un personnel souriant mais distant vous accueille pour un voyage gustatif en 7 étapes. J'avoue, sans parti pris que je n'ai retenu aucune des destinations, malgré les explications gentiment récitées, de table. Les saveurs supposées être perçues, m'ont totalement échappé par leur subtilité. Trop de phrasé, trop de chichis, pour une expérience plus visuelle que gustative."
3,Le Gourmandin,lepetitgourmandin,17 avril 2024,Déçu,2.0,couples,28,"Tarif excessif, des portions ridicules (au menu 2 plats différents à base d'asperge, dans les 2 cas à peine 1 asperge dans l'assiette)
Je reconnais une certaine recherche dans les plats mais rien de mémorable.
Une galette de riz gorgée d'huile. 
75€ pour manger 2 asperge et un tronçon de céleri rave, un bout de rhubarbe, même travaillé cela ne justifie pas un tel tarif.
Une mention positive : le service est très professionnel et attentionné.
Chacun se fera son avis pour ma part : plus jamais. Je comprend de plus en plus les personnes qui se détournent des restaurants."
4,Pascal K,PascalK_12,26 mars 2024,Une expérience mitigée,3.0,couples,152,"Nous avions fondé de grands espoirs dans le Culina Hortus et attendions d'y manger depuis assez longtemps et j'avoue que nous sommes ressortis avec une sensation plutôt mitigée.

Nous avons déjeuné et donc découvert le menu unique en 7 services. 
Est-ce la formule du déjeuner qui est plus ""simple"" que le menu du soir, en tout cas nous avons trouvé que certaines assiettes manquaient d'inventivité et du ""petit quelque chose"" qui créé l'émotion espérée. 
En l'occurrence pour ne citer qu'un exemple, l'assiette servie en plat principal l'assiette ""gnocchi carottes cerfeuil"" nous a parue assez décevante car n'en ressortait pas, à notre sens, de nouveauté ou d'apport remarquable (l'association carotte orange est connue) même si très bien éxécutée. 
Par delà l'intitulé où transparaît visiblement pas mal de travail autour d'un ingrédient principal, nous avons trouvé qu'il manquait souvent le petit ""kick"", qui aurait créé la surprise.
Deux plats en mémoire tout de même, l'un des amuse bouche qui était une Meringue végétale, algues confites au soja, julienne de nori, surprenant, délicieux et cet umami très appréciable, et une entrée, l'asperge verte, mayonnaise bergamote, bergamote lacto-fermentée, salade d’herbes, croutons au beurre, beurre d’herbes potagères qui était pour le coup très très savoureuse et l'association asperge bergamote heureuse et nouvelle pour nous.

Les vins servis en accord étaient tous très bons, avec toutefois un bémol sur le choix du vin au dessert, un asti spumante qui nous a paru trop sucré, et qui a rajouté de la sucrosité au dessert au lieu de l'alléger et de l'équilibrer avec un autre choix.

Voilà, peut-être l'attente était-elle très (trop ?) forte, en tout les cas le résultat pas à la hauteur de ce que nous espérions. Le service était parfait et nous avons pu échanger sur quelques sensations sur le moment face à un personnel à l'écoute, cordial et compréhensif.
Nous conseillons malgré tout de tester cette table et de se faire sa propre opinion et souhaitons bonne continuation à l'équipe."
5,ALICE,ALICEBOUBOU,22 mars 2024,Farandole gustative,5.0,family,264,"Excellent accueil, succession de mets divinement élaborés. Mariage de légumes de saison parfaitement réussi. Avec les explications très précises. J’ai rarement savouré des légumes aussi bien préparé et assaisonné. Félicitations à toute l’équipe en cuisine et en salle, merci beaucoup pour ce moment exquis."
6,Rolf,Venture08621350176,13 mars 2024,Excellent à tout point de vue,5.0,couples,19,"Excellent endroit dédie à la cuisine végétarienne. Plat très goûteux et créatifs. Équipe jeune, compétente et motivée. Local avce beaucoup de charme au centre de Lyon"
7,georges69-34,georges69-34,12 mars 2024,Quelle belle surprise,5.0,couples,129,"Pas végétarien pour un sous, je suis venu sur les conseils d’une amie ( qui travaille dans ce restaurant) et nous avons passé un moment exceptionnel que cela soit avec les plats proposés et les vins associés ! Des explosions de saveur pour les papilles 
L’accueil et le professionnalisme des serveurs, cuisiners et dirigeants ont rendus ce moment encore plus exceptionnel 
Merci et bravo"
8,magtof,magt0fm,5 février 2024,"tres beau voyage culinaire, belle expérience",5.0,couples,13,"Tres beau voyage culinaire, tel que nous les aimons : des plats avec des découvertes, des tentatives, des textures et une présentation qui donne envie de croquer.
Nous avons dégusté soigneusement les plats pour en profiter le plus possible, et particulièrement le finger au chou. Nous ne sommes pas végétariens mais le repas a été sans aucun manque !
Merite une étoile voire 1,5!"
9,christianne M,729christiannem,27 septembre 2023,Quelle émotion !!!…,5.0,couples,11,"Une émotion gustative hors du commun…Du premier au dernier plat, nous avons été surpris et ravis: merci aux chefs et au personnel de service."
10,lapinblanc2016,lapinblanc2016,13 août 2023,Une expérience.  Un source d'inspiration.,5.0,friends,114,"expérience incroyable!
C’est le meilleur végétarien de Lyon, c'estpeut-être même le meilleur restaurant tout court. . Les plats sont équilibrés et très goûteux. Les ingrédients sont originaux et très agréable en bouche. Les serveurs sont gentils, à l’écoute, attentifs et le service est fluide. La décoration est très moderne et chaleureuse. La carte des vins d'importance. C'est une expérience.  Merci aux chefs et à toutes les équipes."
11,Erik G,erikguyon,3 août 2023,Culina Obtus,5.0,family,2,"On m’avait prévenu et ça a été bien au dessus de mes espérances. Quels visuels, quelles compositions de saveurs ... quelle palette de goûts sublimés. Bravo.
Un tout petit dommage que certaines hôtesses ne sourient pas, se prennent bcp trop au sérieux ... merci à notre hôte par contre qui a su lui allier le professionnalisme à la décontraction et la gentillesse..
Et je ne reviendrais pas sur l’incroyable refus de rajouter un couvert de plus ( de 5 à 6) alors qu’absolument rien ne l’empêchait ... il ne faudrais pas que « Culina Hortus » bascule dans « Culina Obtus » 😌
"
12,Nina,Globyr,22 juin 2023,A faire absolument,5.0,friends,56,"Ce fut une excellente découverte les saveurs sont là, présentation parfaite, personnel agréable, la salle est en pierre et poutres apparentes. C’était la première fois que je déjeunais dans un restaurant végétarien et j’ai hâte d’y retourner pour leur nouvelle carte dans 3 semaines. 45 € le menu en 7 plats"
