,user,user_profile,date_review,title,rating,type_visit,num_contributions,review
0,Béatrice P,794b_atricep,6 janvier 2025,Simple et efficace,4.0,couples,6,Cest un lieu sympa.n bien décoré. Ambiance calme le midi. Le repas est bon. Mais j'aurai mieux fait de prendre une formule ça m'aurait coûter moins cher.
1,Maud,Maud_Sacco_94,20 décembre 2024,Superbe adresse,5.0,friends,3,"Les empanadas sont délicieux, les cocktails sont au top, et l'ambiance est superbe donc je n'ai rien à redire ! Je recommande."
2,Frédéric P,R2903YKfr_d_ricp,15 décembre 2024,Muy bien !,4.0,couples,2,"Tout est bon : les empanadas, le service, la musique, l’ambiance. Et ils servent à manger jusqu’à 23h30 au minimum ce qui est rare à Lyon et très bien pour une petite faim après un spectacle !"
3,Antoine L,antoinelF7526DU,13 décembre 2024,Vendredi soir,5.0,friends,1,"Un repas excellent servis rapidement dans une ambiance chaleureuse. Très bon service d'Amelia et super ambiance générale 👍
Une super piste de dance au sous-sol"
4,Thomas S,A9840AEthomass,7 décembre 2024,"Un restaurant sympathique très bien, un lieu on peut venir à plusieurs",5.0,family,1,"très bien pendant les fêtes des lumières et en plus tard le soir, ambiance caliente.
Restaurant très  sympathique et l’équipe 
Muchas gracias"
5,Joachim J,joachimj556,6 décembre 2024,Très belle découverte dans le quartier,5.0,friends,2,Très bel accueil et très belle variété d'empanadas qui ont régalé toute la troupe et pour un prix très correct et ceci toujours avec le sourire !
6,BEAL C,bealc2017,2 décembre 2024,Une super soirée entre amis,5.0,friends,3,"Très belle soirée passée entre amis dans ce lieu si typique et accueillant au personnel super  professionnel et souriant. Et cerise sur le gâteau,  les empanadas sont délicieuses !"
7,Marie-France M,790mariefrancem,1 décembre 2024,Empanadas club : c'est toujours un plaisir d'y aller !,5.0,couples,1,"Que ce soit sur le pouce avant une séance de ciné ou en prenant son temps, en couple, en famille ou entre amis, c'est toujours un bon moment ! Les empanadas sont bonnes, les vins aussi ! Le service au top ! Le cadre est sympa ! La localisation idéale ! Pour moi, un restaurant ""feel good"" qui donne le sourire et me fait voyager : j'adore !"
8,Lucie B,681lucieb,30 novembre 2024,RDV en Amérique latine,5.0,couples,16,"Endroit convivial et très latino pour manger simplement en étant dépaysé !
Empanadas savoureux et servis bien chauds
Par contre pas de possibilité d'enlever des ingrédients 
Dommage pour les allergies"
9,Maïa D,213ma_ad,17 novembre 2024,Dépaysement,5.0,friends,1,"Détente, accueil chaleureux en toute simplicité...
Je recommande à tout le monde...
Les empanadas de qualité, à tomber ! Et après, vous pouvez aller danser 💃 !!!"
10,El loco,567renaudc,9 novembre 2024,Bienvenido a Buenos Aires,5.0,couples,3,"Dépaysement assuré dans ce restaurant!
Une ambiance argentine qui met tout de suite à l’aise.
Coup de cœur pour la décoration.
Un personnel souriant et accueillant.
Des empanadas succulents et variés. Mention spéciale pour le ""carne picante"".
Les desserts permettent de finir sur cette note sucrée que l’on aime.
Très belle découverte
Petit bémol : le mange-debout pas très confortable (mais en arrivant à 20h sans réservation on ne va pas se plaindre d’avoir été accueillis)"
11,Bianca R,I9356HSbiancar,3 novembre 2024,Je recommande,5.0,couples,1,"Service très bon, les jeunes serveurs sont attentionnés . Le service est rapide après la commande. Nous, on a bien apprécié."
12,Laurence P,G3579YVlaurencep,2 novembre 2024,Repas amis famille,5.0,friends,1,"Le service est rapide et efficace.
Ambiance conviviale, nos amis venus en famille d’une autr région ont bien apprécié aussi.
L’offre est variée pour les Empanadas salés et du coup à 10 on a tous trouvé ce qui nous convenait.
Les desserts étaient tous très bien sont en particulier le copetin; mais je trouverais top, d’un jour proposer un Empanadas sucré à recette variable (un peu comme le surpresa mais en sucré)."
13,Luce T,337lucet,2 novembre 2024,Parfait,5.0,friends,1,"À l'occasion d'une soirée entre amis. Personnel très agréable, empanadas  au top. Une adresse que je recommande sans hésiter. Nous reviendrons assurément !"
14,maylisdemauroy,maylisdemauroy,1 novembre 2024,Voyage gourmand en Argentine,5.0,couples,2,"Ambiance très chaleureuse à l'Empanadas Club. La déco, l'équipe, la carte: on voyage en Argentine. Le système de commande est efficace, le service rapide et les empanadas sont très bonnes ainsi que la fameuse sauce chimichurri. À découvrir !"
15,Agathe,agathemrd,31 octobre 2024,Très bon restaurant !,5.0,business,2,"Nous sommes venu avec mes collègues pour un pot de départ et nous avons passé un super moment ! Les empanadas étaient super bons, le coktails également ! 
Le personnel était très chaleureux et accueillant ! 
On reviendra sûrement !"
16,Aurélien L,15aur_lienl,30 octobre 2024,Belle découverte,5.0,family,3,"De passage à Lyon, excellente découverte en famille,on s'est régalés. L''accueil est très chaleureux. Je recommande sans hésitation !"
17,Damss,65damienc,28 octobre 2024,Voyage en Argentine,5.0,family,5,"Un super moment passé dans ce restaurant qui vous embarque en Amérique du Sud par son décor et sa musique. Les empaladas sont a tomber et le service irreprochable. Bref,vous l'aurez compris,n'hésitez pas a pousser la porte de cet etablissement..."
18,Elie D,ElieD158,28 octobre 2024,"Délicieux, à faire !",5.0,friends,31,"Délicieux, les meilleurs que j'ai pu manger. Je recommande vivement, l'accueil était très chaleureux. 
C'était varié "
