,user,user_profile,date_review,title,rating,type_visit,num_contributions,review
0,Franky L,714frankyl,9 janvier 2025,Déjeuner,5.0,friends,1,"Parfait, au niveau de ce que nous connaissons déjà !
(pourquoi me forcer à allonger mon message ? Tout est dit, positivement !)"
1,severine G,severineg995,3 janvier 2025,Déjeuner table d’ambre,5.0,couples,1,"Plats raffinés, élégants et goûteux avec des produits de saison. Serveur très agréable et polyvalent. 
Je recommande sans hésiter !"
2,Sacha P,SachaP25,15 décembre 2024,Excellent restaurant,5.0,couples,5,"Excellente adresse, accueil et service impeccables. La présentation des assiettes est raffinée et les saveurs sont bien équilibrées avec des produits de qualité ! 
Petit bonus pour le maître de salle qui nous a très bien conseillé les accords mets et vins. 
Je recommande complètement !"
3,Julien B,M8546HGjulienb,8 décembre 2024,Charmant restaurant,5.0,couples,1,"Très bel endroit à Lyon, nous avons pris le menu dégustation en cinq services qui était excellent.
Merci au chef à l’équipe pour cette agréable expérience"
4,Ophé F,oph_f2024,6 décembre 2024,A découvrir  !,5.0,couples,1,"Ce restaurant est de qualité : Cuisine délicieuse avec produits frais et locaux, quantité suffisante, très bon service. À ne pas manquer !"
5,couicsilver,couicsilver,5 décembre 2024,Exceptionnel ! qualité et raffinement,5.0,couples,217,"Exceptionnel ! Superbe dîner pour 2 (menu à 58€). De la mise en bouche aux desserts, plats inventifs, goûteux, et en plus une superbe présentation qui vous met l’eau à la bouche. Le Chef est un vrai artiste. Très bons vins également. Service de même niveau, très bon suivi, et très bons conseils y compris en sommellerie. Soirée parfaite en tous points, nous sommes enchantés de la qualité et du raffinement. En photo : St Jacques et purée pois cassés, magret, et desserts dont dôme citron."
6,Journey29489234002,Journey29489234002,4 décembre 2024,Très belle cuisine,4.0,business,1,"Très belle cuisine, raffinée, les convives ont vraiment apprécié les plats
par contre manque de sourire côté service, c'est dommage"
7,Daniel  L,Q942SUdaniell,29 novembre 2024,Bravo!!!,5.0,friends,5,Bravo!!! Repas (menu du marché ou à la carte): excellent à un prix raisonnable. Accueil: service excellent et de bon conseil.
8,Michèle M,mich_lem607,26 novembre 2024,Excellent déjeuner en semaine,4.0,friends,1,"Excellent moment dans un lieu cosy, calme , très agréable.
Belles assiettes pour un menu déjeuner classique mais très bien préparé et assaisonné. 
Service discret et efficace, 
À refaire !"
9,Jean Paul,Curious17023492110,24 novembre 2024,Excellence,5.0,couples,1,"Le repas était excellent à l’œil et à l’estomac.
Très appétissant.
Et les serveurs étaient attentionnés et aux petits soins avec nous"
10,Voyage814496,Voyage814496,17 novembre 2024,une soirée gourmande partagée dans la bonne humeur,5.0,friends,1,"Une cuisine digne d'un gastronomique, un bon moment partagé!
Un petit clin d'oeil à Ambre !
Nous reviendrons avec plaisir."
11,Eve C,R3148EIevec,14 novembre 2024,Parfait,5.0,couples,2,"Tant la cuisine que le service, tout était parfait. Un lieu calme et superbe pour se régaler et passer un agréable moment."
12,jlalias,jlalias,11 novembre 2024,Plus que bon!!!,5.0,couples,203,Le service est impeccable  présent et pas obséquieux et l excellence est dans l assiette avec de   justes proportions et un gout sublimé de tous les aliments
13,Sylvie D,sylviedU4352LU,8 novembre 2024,Une adresse à retenir,5.0,friends,1,"Une belle découverte: des plats parfaitement cuisinés, savoureux, une présentation magnifiquement soignée, et des desserts délicieux! 
L’accueil et le service impeccables et souriants , (nous avons fait changer l’horaire de réservation et ça n’a pas posé de problème). 
Un restaurant très élégant et chaleureux."
14,Lisa M,lisamQ3681YS,8 novembre 2024,Je recommande fortement!,5.0,couples,1,"Les plats sont très savoureux, recherché et délicieux et le personnel très sympathique et serviable. Nous avons passé un super moment."
15,Nicole S,nicolesX3630LL,3 novembre 2024,Superbe expérience,5.0,couples,1,Nous avons bénéficié d’un service chaleureux et attentionné. Tous les plats nous ont régalés par leurs saveurs équilibrées. Une excellente soirée !
16,Daniel S,danielsC6436JF,1 novembre 2024,Absolument parfait,5.0,couples,1,"Restaurant choisi pour nos 2 ans avec ma compagne, tout était parfait, le service, les plats et les vins.
Je recommande totalement ce lieu."
17,Pascal E,961pascale,30 octobre 2024,Une bonne adresse,5.0,friends,3,"Une belle adresse toujours très inventif dans les propositions de saveurs, avec beaucoup de talents. 
Tant dans les entrées que  dans les plats."
18,Jean P,J2714YWjeanp,25 octobre 2024,Valeur sûre,4.0,friends,4,"Diner entre amis pour celebrer une belle occasion réussi.  Accueil, service et nourriture impeccable. Notamment grâce à la maîtresse de maison"
19,PASCAL B,pascalbF9722LI,17 octobre 2024,Belle découverte,5.0,couples,11,"Belle découverte que ce ""petit"" restaurant niché dans une rue et un quartier très agréable à 2 pas de Perrache et de Bellecour. Assez intime (vite plein, donc pensez à réserver), le service est discret, rapide et efficace. Le chef s'applique à préparer des plats simples mais bons et bien présentés. Mention spéciale pour le pavé de boeuf, un vrai délice."
20,Pioneer30569009489,Pioneer30569009489,16 octobre 2024,La perfection,5.0,friends,1,"L'endroit parfait pour passer un moment hors du temps entre amis.
Le cadre est  à la fois intimiste et intemporel.  Les plats sont préparés à la perfection.les presentations sont élaborées, la vaisselle élégante. Les nappes blanches et la touche florale en fait un.lieu rare."
21,POSTEC-ANDRE C,postecandrec,13 octobre 2024,"Nous recommandons ce restaurant. Des produits locaux, le service est de qualité et il n’y a pas trop de table.",5.0,couples,1,"L’ensemble est très professionnel, de l’accueil aux plats. Les mets sont raffinés et témoignent d’une grande maîtrise culinaire."
22,Carine S,carines787,12 octobre 2024,Excellente découverte,5.0,couples,2,"Excellent menu de dégustation dans un cadre agréable.
Merci au jeune homme en salle pour un service impeccable bien qu'il était tout seul et le restaurant complet!"
23,Nathaly,Stay58809396648,10 octobre 2024,Très belle expérience,5.0,business,3,"Très bon restaurant. Produits frais. Très bon conseil sur les vins. Réservation indispensable car peu de tables.
Une belle adresse."
24,Sylvie R,sylvier94,7 octobre 2024,Très belle découverte,5.0,friends,3,"Maître restaurateur, en principe valeur sûre qui ne s'est pas démentie !
Jolie carte, produits frais joliment dressés et associations originales.
Sélection de vins ouverts mettant en avant des vignerons indépendants très qualitatifs
Personnel accueillant et attentionné
Très belle découverte"
25,Lisa C,LILI_EU_FR,5 octobre 2024,Splendides retrouvailles! Très bonne table,5.0,business,116,"Testée il y a deux ans au dîner, la Table d'Ambre ne nous avait pas laissé un souvenir mémorable. Que de progrès depuis cette date! Dans un décor toujours intimiste, le Chef nous régale de mets aux saveurs subtils, aux cuissons maîtrisées et des desserts savoureux (spéciale dédicace à celui aux abricots). Je recommande sans hésiter et reviendrai très prochainement."
26,Veropat,VeroPat29170,27 septembre 2024,Une table sympathique,5.0,couples,7,"Nous avons apprécié l'excellente qualité de la cuisine, un service sympathique et de bon conseil,  et le calme ambiant de la salle.
En revanche, s'agissant du menu d'Ambre à 58 euros, nous avons trouvé un peu ""mesquin"" l'amuse bouche, ainsi que le café servi sans mignardise ni même un petit chocolat."
27,MCM,matoukmatuk,24 septembre 2024,Merci Monsieur Benoit.,5.0,friends,244,"On n’ais pas visité le Restaurant encore, mais seulement pour l’atention de Monsieur Benoit au telèphone, et la courtoisie avec nous pour faire possible notre reservation pour un grupe de 8 personnes, on peut dire que la visite será impecable. 
Merci Monsieur Benoit."
28,Discover788050,Discover788050,15 septembre 2024,Délicieux !,5.0,couples,1,"Un délice. Nous avons pris le menu dégustation avec accord mets vins. Les plats sont beaux, fins et délicieux, tout comme les vins. Le service est parfait et les serveurs adorables.
Un super moment."
29,Colette Z,colettez504,14 septembre 2024,Très belle table!,4.0,couples,1,"L'endroit parfait pour une soirée tranquille. Accueil chaleureux, service su top et très aimable, 
Plats très bien présentés.
Pour ma part, l'amuse-bouche (crème broccolis dans tartelettes), la mise en bouche (rillettes de maquereau, déclinaison de betteraves) et l'entrée (tartare tomates anciennes, huile basilic)
manquaient de sel.
L'oeuf mollet tout comme le Filet de St-Perre étaient parfaitement assaisonnés et très bons.
Fromages affinés très bons bien que servi un peu trop froid,.
Les desserts étaient très bons.
Merci à toute l'équipe.

Je recommande cette table sans hésitation! Et si nous devons revenir à Lyon, nous saurons où aller.

Ne pas oublier de réserver."
30,gdeponza,gdeponza,14 septembre 2024,Un restaurant ou on se sent vraiment bien.,5.0,family,59,"Après le découverte de la table d’Ambre au mois de Juillet , nous y sommes allés cette fois ci en famille. Et comme la première fois nous avons été enchantés. Tous les plats étaient délicieux et parfaitement présentés . Pour les vins nous nous sommes laissés guidés par les choix judicieux du serveur toujours aussi disponible. Merci à toute l’équipe de ce restaurant où on se sent si bien. Le chef rêve d’une fourchette si ça ne tenait qu’à moi je lui décernerais une étoile. A très bientôt promis."
31,Marc L,marclY8446IW,11 septembre 2024,Il faut y aller,5.0,couples,2,"C'est la deuxième visite et nous avons pu apprécier la constance du travail du chef
Tout est bien dans l'assiette et le service est efficace "
32,Gael S,356gaels,5 septembre 2024,Une ravissante adresse,5.0,couples,1,"Des saveurs savamment recherchées et harmonieuses qui nous ont ravi les papilles, bravo ! Un grand merci également au serveur qui s'est prodigieusement occupé de notre table, nous garantissant une expérience meilleure encore. 
À bientôt !"
33,gdeponza,gdeponza,3 août 2024,5 sur 5 sans hésiter.,5.0,couples,59,"Une bien belle découverte. Soirée pour notre anniversaire de mariage , nous avons été conquis en premier lieu par l’accueil et le service, les plats et la gentillesse du chef et de son serveur . Tout était parfait. Nous y reviendrons c’est sûr ."
