,user,user_profile,date_review,title,rating,type_visit,num_contributions,review
0,Flyer607363,Flyer607363,3 décembre 2024,Aucun rapport qualité prix,3.0,business,16,"Bon accueil le service correct ainsi que le repas mais étant un groupe nous étions dans la salle du haut très chaude voire étouffante mais quelle fût ma surprise au moment de payer 58 euros avec les vins pour un menu des plus simple avec des portions au grammes près. 
Bon mais pas à ce prix vaut 40 euros maximum. Dommage d'avoir le sentiment de s'être fait avoir. "
1,JOFFREY B,joffreyb981,19 novembre 2024,"Sur recommandation, je recommande à mon tour !",5.0,business,42,"Véritable bouchon d’excellente qualité de l’entrée jusqu’au dessert, belle carte des vins et service professionnel.
Prix très corrects .
Un très bon moment entre collègues de travail.
Pensez à réserver ."
2,Alexandre D,alexandredM4503YG,13 juillet 2024,Bonne adresse,4.0,business,30,"Bien situé, excellent dîner avec des plats bien présentés et très bon.
Le pâté en croûte est excellent.
La carte des vins a beaucoup de très bon choix."
3,laure2712,laure2712,19 avril 2024,Y aller sans hésiter,5.0,couples,174,"Très bel endroit, typique. Personnel agréable et attentionné. Très bons plats. Le pâté croûte était excellent ainsi que la tête de veau et le foie de veau persillé. Le plateau de fromage était copieux. Bon rapport qualité prix. Rien à redire"
4,Jean D,13032014Ac,6 avril 2024,Très bon ensemble,4.0,friends,277,"Bon accueil, bonne ambiance, bon service, belle cuisine authentique et généreuse (entrées succulentes, et plat de grande qualité - foie de veau, tête de veau, vol-au vent notamment); un petit bémol pour le dessert (baba au rhum un peu discret et crème caramel au goût tout aussi discret). Une excellente soirée et un beau lieu. Merci."
5,Emma F,J5817KOemmaf,16 février 2024,Expérience gourmande,5.0,couples,2,"Un repas dans un cadre typiquement Lyonnais. Ambiance chaleureuse, a l'écoute. Service rapide et prix raisonnable. Une cuisine juste exceptionnelle."
6,Phileas Fogg,phileas10106,4 février 2024,Un bouchon tendance.,3.0,family,723,"Ce bouchon propose une cuisine innovante en accordance avec les saveurs du terroir. Les vins sont particulièrement raffinés et les desserts exquis mais le service est passable. En effet, on ne m'a pas apporté un plat que j'avais commandé mais un autre, et on a hésité avant de changer mes couverts entre deux plats. Le rapport qualité-prix est tout aussi passable. Bref, peut mieux faire! "
7,Buffetfroid,Buffetfroid,22 novembre 2023,Belle adresse dans le 6 ième,5.0,couples,62,"Quelle belle surprise, on pousse la porte et l’on devine déjà que l’on est au bon endroit. Belle carte précise et concise. Nous suivons les conseils du serveur et dégustons un lièvre à la royale….. Alors n’hésitez pas pousser la porte et laissez vous surprendre ."
8,seg44510,seg44510,22 octobre 2023,Vaut largement le détour !,5.0,friends,10,"Magnifique bouchon, fidèle à la tradition lyonnaise. Les quenelles sont incontournables. Le patron aux petits soins pour ses clients."
9,blanottin,blanottin,17 octobre 2023,fuyez le saumon fumé maison,3.0,friends,8,"Déçu par la note finale pour le prix payé et pour la qualité de l'entrée.

Il n'y a qu'une carte, et si l'endroit est agréable, calme au 1er étage, et le service impeccable, le saumon fumé ""de la maison"" ne correpondait pas à une exigence minimale (couleur rose et grise, saveur insignifiante, portion très petite)
 le reste (quenelle, Gnocchis, et filet de poisson) agréable sans plus "
10,Maryse L,969marysel,29 août 2023,Déjeuner très réussi,5.0,couples,109,"Déjeuner du midi en terrasse avec notre chien qui a été accepté à la réservation.
Menu de la semaine succulent et service sympathique et professionnel.
Le bouchons est à l’écart de l’agitation et recommandé par Gault et Millau .
Les prix sont modérés .
Testez-le"
