,user,user_profile,date_review,title,rating,type_visit,num_contributions,review
0,Jer_vht,Jer_vht,8 janvier 2025,"Très bel endroit, excellent service et plats délicieux !",5.0,friends,103,"Un très bon moment entre collègues.
Service aux petits oignons, très sympathique, réactif et attentionné.

La carte est plutôt réduite mais c’est bon signe : les plats sont parfaitement maîtrisés. Nous avons goûté tous les plats chauds de la carte, ils se sont révélés tous plus délicieux les uns que les autres. Très savoureux avec des ingrédients de bonne qualité. Facile à partager. Le timing de service est top.

Que du positif pour nous, à refaire absolument. 

Merci et à bientôt."
1,Jenni,jeb06,27 décembre 2024,Extraordinaire,5.0,family,101,Quelle belle découverte !!! Cuisine parfaite et service parfait. Nous avons était surpris par l’originalité des plats mais belle surprise. Même les ados ont adoré. Je le conseille ça fait du bien de déguster de vrais plats bien préparés. Ça vaut le prix. Merci et continuer comme ça.
2,DelauTiber,DelauTiber,5 décembre 2024,"Ambiance cosy , délicieux !",5.0,friends,58,"Dîner entre copines. On a beaucoup aimé l’ambiance cosy. La cuisine est pleine de saveurs , originale . La formule c’est un peu comme des tapas,  avec des assiettes entrée, plat, accompagnement, et desserts . Tout était délicieux et à des prix raisonnables. Je reviendrai !
La seule difficulté ( mais le restaurant n’y est pour rien ! ) , c’est la difficulté de se garer en voiture dans le quartier après 19h."
3,Odile O,odileo471,30 novembre 2024,Excellente soirée  dans un cadre chaleureux  où  je me suis régalée,5.0,friends,2,"Cadre très agréable et service parfait
Les moules glacées, un régal!
Les coquilles Saint  Jacques très  bien préparées, saveurs subtiles!"
4,AgnesDMC,AgnesDMC,29 novembre 2024,Saveurs  subtiles,5.0,friends,2,"Le cadre est chaleureux, le service parfait.  Mais c'est surtout la cuisine qui ne peut laisser indifférent. 
Je vous conseille les moules glacées : c'est assez original et réellement excellent !!
Et nous avons eu la chance de bénéficier d'un arrivage  de coquilles Saint Jacques, en direct de Bretagne, que nous avons dégustées accompagnées de potimarron au four et  granola. Un régal !
Promis..nous reviendrons  !!!"
5,Kenza A,181kenzaa,5 novembre 2024,A découvrir!,5.0,friends,1,"Très belles découvertes avec des amis, les plats à partager était délicieux, l’équipe convivial au top! Je recommande fortement !"
6,Cecilia,princessesushis,5 novembre 2024,Testé et approuvé !,4.0,friends,384,"Nous avons testé ce restaurant avec mes copines et c'était une chouette expérience.  Les plats sont bons,  bien présentés, carte courte, gage de qualité.  L'accueil souriant et sympathique. C'est un endroit chaleureux où on se sent bien.  Par contre, j'ai trouvé que le concept tapas/à partager ne se prête pas au vu des plats proposés. En effet, les plats sont  élaborés et difficilement partageables. Et la quantité dans l'assiette est un peu juste par rapport au prix (j'aurais bien mangé un peu plus de poulpe 😉) sachant que l'accompagnement est à prendre à part. 
Nous reviendrons et recommandons cet endroit 😀"
7,n s,642ns,28 octobre 2024,Excellente adresse !,5.0,friends,14,Excellent restaurant ! Plats fins et recherchés à partager ! Cadre agréable. Les '' cousins'' sont chaleureux et accueillants. 
8,Sandrine V,D7528XNsandrinev,18 octobre 2024,Exceptionnel ! Restaurant incontournable,5.0,family,1,"Exceptionnel ! Une adresse incontournable. On a fait beaucoup de restaurant, mais la je dis waouhhhh 
Saveur, présentation tout est là !
Au delà de l’assiette, le concept, le cadre sont sympas . Ambiance conviviale il y a tout ce qu’il faut pour passer un moment agréable. 
Venez vous verrez que vos papilles ne s’y tromperont pas…"
9,Roxx,Roxxa_0108,2 octobre 2024,Une expérience culinaire inoubliable au cœur de Lyon!,5.0,family,10,"J’ai vécu une expérience extraordinaire au Comptoir des Cousins! L’ambiance est chaleureuse et accueillante, et le décor intime vous fait vous sentir comme chez vous. La cuisine est exceptionnelle, les plats étant préparés avec des ingrédients frais et servis avec beaucoup d’attention aux détails. Chaque plat était un véritable régal, avec des saveurs bien équilibrées et une présentation soignée. Le tartare de thon était particulièrement exceptionnel, un vrai délice ! Le personnel est extrêmement aimable et attentionné, ce qui a rendu l’expérience encore plus agréable! Un restaurant à ne pas manquer lors de votre passage à Lyon."
