,user,user_profile,date_review,title,rating,type_visit,num_contributions,review
0,Agnès G,agn_sg2018,8 janvier 2025,Belle étape,5.0,family,2,"Très beau lieu. Nous y sommes allés pour la deuxième fois et pas déçu des plats. Toujours aussi bon.

Nous y retournerons avec joie"
1,Vegou,verogout,7 janvier 2025,Une soirée à la hauteur de nos attentes,5.0,couples,1,"Bel endroit dans cette ancien hôpital refait et plein d’histoire. 
Menu avec peu de choix et raffiné. Vin au verre de bonne qualité.
Agréable soirée"
2,Christophe1991,Christophe1991,7 janvier 2025,Une impression mitigée,4.0,family,13,"Pas mal , mais....  Très beau cadre, mais le soir la belle verrière n'est pas éclairée par derrière .. Quel dommage! 
Les plats sont bons, sans être extraordinaires.  Si on sort du menu , l'addition est salée. Les vins sont chers aussi .  Le personnel est très gentil mais un peu inexpérimenté. 
En résumé, c'était dans l'ensemble un bon moment, mais la direction du restaurant peut probablement améliorer l'expérience des convives."
3,cdc,chrisdetrotter,6 janvier 2025,Découverte,5.0,couples,2,Excellente repas & service dans une atmosphère splendide.  Nous revenons certainement la prochaine fois à Lyon. xxxxx
4,paex2018,paex2018,5 janvier 2025,Décevant,2.0,family,3,"Nous avions réservé pour 4 personnes.  Seul le menu de la semaine était servi, mais la personne à l'accueil ne le signale pas.  A notre table le serveur pose la feuille du menu semaine, nous attendons pour avoir la carte. Il revient pour prendre la commande, je le questionne, il m'indique qu'il n'y a pas de carte ce midi,  un peu déçu il m'indique que le menu propose déjà un choix  suffisant... Un verre sale, les cotillons dorés du 31 sous la table... Un tartare de boeuf haché trop fin, très tassé, peu huilé, trop froid surement au frigo très tôt dans la matinée. Pas d'assaisonnement sur table. Un poisson servi sans élégance avec une cuillère de purée de pomme de terre douce... Un poulet au vinaigre mais sans vinaigre avec mes mêmes accompagnement  que le poisson. Un deuxième verre de vin qui arrive quand le plat principal  est terminé. Une organisation étrange, 4 serveurs et un chef de rang se sont occupés de notre table, un service façon brasserie, avec des serveurs qui courent... pas reposant du tout... Bref expérience décevante, nous allons tout de même retenter un  passage afin d'avoir un avis définitif."
5,Angeline M,Raencgietlaine,4 janvier 2025,Dîner parfait,5.0,friends,2,"Accueil très agréable, service aux petits soins et à l’écoute. Le repas était délicieux. Le dessert une merveille. Le seul bémol était plus que négligeable avec l’assiette de mon plat qui était légèrement ébréchée. Tout était parfait je reviendrai avec plaisir"
6,Acarron,acarron,4 janvier 2025,"Endroit insolite, expérience inoubliable",5.0,couples,1,"Tout était parfait, du service à l’assiette. Remarquable gestion de l’environnement sonore, malgré l’architecture des lieux. Endroit insolite, expérience inoubliable."
7,lochaaa,lochaaa,4 janvier 2025,Belle cuisine dans un lieu emblématique,4.0,family,3,"Le cadre est splendide.
L’équipe est très sympa et à votre service à chaque instant.
Le menu entrée plat dessert est très abordable mais reste très qualitatif et gourmet."
8,NorthStar53247975312,NorthStar53247975312,3 janvier 2025,A recommander,5.0,friends,2,"Service parfait, simple, élégant et attentionné ; formule du midi délicieuse et d'un excellent rapport qualité prix, lieu magnifique et agréable"
9,Mickael F,256mickaelf,2 janvier 2025,Un moment privilégié au coeur d'un lieu splendide,5.0,couples,4,"Le restaurant est très beau, le service impeccable et repas d'une exceptionnelle qualité. Il y a du choix pour ceux qui mange ou pas de la viande. Nous reviendrons !"
10,mTHIERRY T,thierryt59,2 janvier 2025,Belle Découverte !,5.0,couples,4,"Endroit magnifique, de l'entrée au dessert tout était parfait. Service impeccable.  Petit bémol : qualité du pain pas à la hauteur de l'ensemble."
11,Maxime R,636maximer,31 décembre 2024,Pas idéal pour un repas à deux,3.0,couples,2,"Un accueil pas très sympathique à part la serveuse très sympa 
Carte moyenne et pas très explicite. Il faut penser à tourner les pages !"
12,Serge M,N4847WCsergem,31 décembre 2024,A la hauteur du lieu,5.0,couples,3,"+ Cadre, très belles assiettes goûteuses et originales. Cuisson des légumes parfaite. QP du menu
- vaisselle ébréchée "
13,Baudina L,baudinal,30 décembre 2024,Menu du déjeuner parfait,4.0,family,1,"Très bon repas avec un bémol pour le plat qui était juste  tiède.Service très efficace  quoique un peu trop rapide.
Un superbe restaurant parfaitement restauré dans le grand réfectoire de l'hôtel Dieu."
14,sylvie,Curious11445087576,27 décembre 2024,J’y vais régulièrement !,4.0,friends,8,Beau menu très abordable en semaine - Service efficace et discret - Sympa pour faire découvrir un bel endroit à des touristes !
15,frannyof76,frannyof76,24 décembre 2024,"Joli cadre ,assiette ordinaire",3.0,family,87,"Un très joli cadre, une belle cuisine ouverte, une présentation soignée  pour une cuisine finalement assez ordinaire . Service gentil mais peu professionnel . Quelques assiettes un peu ébréchées . Pour une addition très salée …."
16,Philyon,Ambassador784536,23 décembre 2024,Soirée de fin d'année,4.0,business,12,Excellent moment entre collègues de travail. Repas et cadre exceptionnels. Merci beaucoup pour la qualité du service également
17,Mehdi F,811mehdif,22 décembre 2024,"Expérience à ne pas refaire c'est sur ,les plats étaient moyen ça passe,dommage que la carte propose pas plus de poisson",3.0,couples,1,"L endroit est sympathique et élégant .
Ça sera juste ça à retenir.la carte propose pas assez  de choix pour les végétariens"
18,Yves et annick c,yvesetannickc,18 décembre 2024,expérience a renouveller,4.0,couples,1,"jolie cadre,trés bon accueil,service rapide,serveuse trés sympatique,repas excellent mais malheureusement gaché par le fait que le plat(coquille st jacque) froide.
il vous faudrait servire ce plat dans une assiette chaude.déssert excellent."
19,Simon O,simono203,17 décembre 2024,Top !,5.0,couples,1,"Le cadre du restaurant est magnifique, le personnel est très agréable et les plats sont bons je recommande pour le rapport qualité-prix."
