user,user_profile,date_review,title,rating,type_visit,num_contributions,review
Sebastien R,80sebastienr,11 janvier 2025,Époustouflant,5.0,couples,17,"Il ne s'agit pas simplement de qualité,  mais il s'agit de créativité,  d'étonnement,  de raffinement etc....
Il s'agit également de la gentillesse et du professionnalisme du personnel, bienveillant , d'excellent conseil pour les vins et spiritueux,  haut de gamme
Sans oublier l'accueil des maîtres des lieux!
Bravo! Vous savez transmettre votre passion dans vos assiettes !
Sans aucun doute,  nous reviendrons !
Moment mémorable "
Pierre Louis,Pierre-Loui,15 décembre 2024,"Acceuil ,calme, service et quiétude.",4.0,business,322,"Dès l'entrée au restaurant , nous sommes surpris par le nombre du personnel présent au regard du nombre de couverts. Les tables sont espacées et l'ambiance générale feutrée participe au confort.
Dégustation d'un menu: entrée, 2 plats, fromages et desserts.
Les mises en bouche, avant-dessert et mignardises participent largement au menu tant par leur nombre, que par leur finesse.
Quant aux plats principaux: le foie gras et les saint-jacques étaient les deux coup de cœur de la table (4 couverts). 
                                                        : le lieux jaune dont le caviar avait un goût de terre, et les escargots qui manquaient de saveur malgré la présence de câpres, furent les deux plats en retrait des menus.
Le choix limité (dans les deux premiers menus) des desserts est compensé par une réalisation fort bien faite et une légèreté agréable.
Le personnel de service était attentif, discret et efficace,  permettant ainsi à un grand moment de gastronomie.
Durant ce repas (4 heures) nous n'avons pas eu la visite à notre table de madame ou monsieur Roure."
Nono0825,Nono0825,19 novembre 2024,Bonne table,4.0,family,1062,Nous avons fêté notre anniversaire de mariage! Nous avons globalement passé un moment mémorable. Par contre il n’y a pas de plats qui nous a subjugué! La cuisine est d’un grande maîtrise mais on s’attendait peut être à mieux.
Pierre-Marc P,317pierremarcp,17 octobre 2024,Une belle expérience,5.0,couples,6,"Très bonne table, beaucoup de saveurs dans les mets, service attentionné. Seul bémol, apéritif un peu cher en regard de la quantité servie."
Maliceste,maliceste,23 juillet 2024,Divin,5.0,couples,150,"Un voyage culinaire ! Bravo au chef, sa brigade et au service, tout était parfait ! 
Une suggestion toutefois, un cocktail sans alcool serait à prévoir pour ravir les personnes qui ne consomment pas d'alcool et souhaitent tout de même profiter d'un apéritif hormis les traditionnelles limonade et jus de fruits."
alain T,184alaint,9 juillet 2024,Exceptionnel,5.0,family,2,"Cadre, service exceptionnel et attentif, cuisine exceptionnelle et créative….très bon moment en famille. Un parcours gustatif des mises en  bouche aux mignardises….un régal pour les papilles…une carte des vins exceptionnel…"
Xavier T,234xaviert,2 juin 2024,⭐️⭐️⭐️,5.0,family,3,"Cadre pétillant et contemporain,vous serez pris en charge par un service délicat et discret…tout comme la cuisine.
Le chef,créatif et talentueux,compose des assiettes subtiles,abouties et raffinées,magnifiant les produits à sont apothéose.
Merci beaucoup pour ce merveilleux moment."
Carol L,220CarolL,29 mai 2024,un grand plaisir,5.0,couples,59,"Très grande cuisine, mais sans goûts extravagants. C'est une cuisine raisonnable, simple et pourtant extrêmement travaillée. Un grand moment, vraiment."
Francois-Serge,Francois-Serge,11 mai 2024,Excellent restaurant,5.0,family,139,"Cuisine excellente et innovative, autant gastronomique que créative. Le service est attentionné mais discret (dans le sens positif du terme), la carte des vins impressionnante mais variée. J'y retournerai avec un grand plaisir."
ergehem,ergehem,6 mai 2024,Quand tout rime avec excellentissime,5.0,family,527,"Un menu sans faute vous attend. Les plats de magnifique facture s’enchaînent à un rythme parfait révélant une présentation d’artiste,des saveurs incomparables et subtiles, des produits de premiers ordre. (Savourez entre autre l’omble cuit dans la cire d’abeille ou le bœuf wagyu) Le service est très professionnel tout en étant décontracté et rieur; l’atmosphère de la salle est agréable. Immense carte des vins dans laquelle le sommelier vous dirige avec compétence."
