,user,user_profile,date_review,title,rating,type_visit,num_contributions,review
0,lbcb2023,lbcb2023,5 janvier 2025,Dommage,2.0,friends,2,"Dommage , vraiment dommage ; une bonne cuisine et un chef d'établissement qui sait ce qu'il veut. Globalement les avis sont élogieux, le patron le sait, donc il s'emballe . J'explique : Il demande si tout va bien et on n'a pas envie de lui déplaire. Il veut maîtriser ses horaires et veut aller vite. Il a annoncé la couleur : faire 2 services. On est prévenu. Malgré cela il estime nécessaire d'envoyer un sms (45 min avant l'horaire) pour insister : ne pas être en retard. On reçoit ce message sur la route tributaire des limitations de vitesse, du trafic ... puis, on loupe l'entrée du parking donc on fait un tour des ponts sur la Saône,( sens interdits..) le temps de gagner les ponts et de se stationner, (on a 8 min de retard) le patron appelle sur le portable. Bref, pour un dîner plaisir, détendu on arrive un peu stressé. Et on a été averti il y a le second service. On ne va pas s'attarder .... 
Le repas était bon, à l'apéritif, une limonade a été préparée en supplément de la commande, pas grave, elle n'a pas été laissée ..normal, mais l'offrir aurait été un joli geste. 
Le service du premier plat : il manque les ravioles, on demande si c'est plus long à préparer elles ont été oubliées .. pas très grave mais on n'a pas mangé ensemble le premier plat. 
On quitte l'établissement , la note dans la poche 
Et ce matin, j'y jette un œil, la limonade y est facturée 4€...
La somme de petites imperfections pourraient être pittoresques d'un bouchon lyonnais "" à la bonne franquette"" mais ce restaurant reste un commerce ...une limonade non commandée, non consommée, et facturée, je pense que les éloges et la volonté de faire très vite, aboutissent à faire trop vite. Si ce commentaire permet de revoir le ressenti d'une organisation ... disons stressante, et trop sûre d'elle, ce sera parfait, nous ne regretterions pas le ""c'était parfait' annoncé au patron en quittant son restaurant. 
L'ambiance générale et du personnel et du patron nous a donc poussé à poster cet avis pour les aider."
1,ALAIN L,ALAINL623,29 décembre 2024,TRES BIEN,5.0,friends,155,"Deuxième passage dans cet établissement et toujours heureux de notre choix. Le patron et les serveurs sont sympas, la cuisine est bonne, les prix contenus. En résumé l'endroit à faire pour un moment agréable."
2,moi,maryselaloux,24 décembre 2024,Bien typique et très bon,5.0,family,34,"Cadre agréable et typique. Os à moelle, quenelles de brochet et tête de veau, mousse au chocolat, tout très bon. Service rapide."
3,Philippe M,W4043LKphilippem,18 décembre 2024,Typique,5.0,friends,88,"Bouchon lyonnais typique.
Plats cuisinés maison et de qualités.
Ambiance conviviale bien qu'un peu à l'étroit.
Service agréable bien qu'un peu froid au premier abord.
Pensez à réserver."
4,Loops J,l00psj,14 décembre 2024,Je conseille les yeux fermés ce bouchon Lyonnais,5.0,family,1140,"Cuisine traditionnelle et ambiance très sympathique
Du bon avec un bon rapport qualité / prix.
Des serveurs haut en couleur mais toujours bienveillants.
Il faut impérativement réserver."
5,Vincent R,vincentrJ4179XJ,24 novembre 2024,Au top !!!,5.0,couples,1,"Nous sommes allés diner un samedi soir avec ma femme et un couple d’amis. Nous arrivons devant un Bouchon Lyonnais typique, une file d’attente impressionnante nous précède. 21h30, comme prévu lors de la réservation, nous nous installons. Accueillis par un gars super sympa et avenant. Nous partageons avec nos amis des spécialités Lyonnaise tel que la sale de Lyonnaise, les quenelles, le saucisson au vin, etc. nous avons passé un moment extraordinaire, dans une superbe ambiance, la qualité et la quantité de ce que l’on nous a servi étaient parfaites.
Seul bémol, attention au petit moustachu qui ressemble à Michel Blanc, il a 2 mains gauches lol.
Allez dans cet endroit vous ne serez pas déçus et pour un tarif plus que raisonnable.
Un nouveau fan Ardéchois."
6,David O,davidoE2499ZA,23 novembre 2024,bouchon dans le vieux lyon,5.0,family,129,"bouchon lyonnais typique 
accueil et service au top
cuisine lyonnaise traditionnelle en passant de l os à moelle aux quenelles .
menu à 30€ parfait 
belle adresse dans le vieux lyon"
7,gromy37,gromy37,22 novembre 2024,Excellent sur tous les plans,5.0,family,267,"Un bouchon lyonnais typique avec des garçons sympas, des plats gourmands, succulents et copieux accompagnés d'un vin de premier choix. Que demander de plus pour passer une excellente soirée. Nous y retournerons sans hésiter"
8,Suzel F,suzelf2017,14 novembre 2024,Grosse faim,5.0,family,1,"Un jeudi parfait en famille dans un lieu charmant et accueillant...et un repas délicieux, équilibré en saveur, quenelle goûteuse..."
9,Françoise R,284fran_oiser,12 novembre 2024,Un lieu chaleureux pour un moment gourmand.,5.0,family,1,"Une cuisine délicieuse dans un cadre pittoresque.
L’accueil est très bienveillant, alors que je m’étais trompée de jour pour réserver !
Merci !"
10,Patricia J,Q3319DEpatriciaj,10 novembre 2024,Au top !!!,5.0,friends,1,"Très belle découverte, nous avons été très bien accueillis, service au top, très bonne cuisine. Tout le personnel est au petit soin.  Nous avons passé une excellente soirée.  Merci à vous"
11,Pierre C,M7522NZpierrec,10 novembre 2024,Parfait et délicieux,5.0,family,1,"Belle équipe , cuisine, barman, direction  tout le monde  en action. 
Service top, plat délicieux, viande exceptionnelle.
Ns avons pris le menu. A30€. Entrée, plat, dessert , parfait . 
Je recommande vivement cet établissement vs ne serez pas déçu 
Pierre colas"
12,dominique L,dominiquelK9508KQ,2 novembre 2024,Merci Patron !!!,5.0,family,4,"Un accueil excellent. Le patron est génial et plein d'humour, nous avons adoré. 
Nous avons passé un très bon moment et il n'y a que du positif. Les plats étaient excellents et copieux. 
Aucune hésitation nous reviendrons. L'un des meilleurs restaurant lyonnais que nous avons fait durant notre séjour;
Pensez à réserver"
13,Carole F,429carolef,31 octobre 2024,Parfait,5.0,friends,3,"Je recommande à tout ceux qui veulent bien manger être bien accueillis dans un vieux Lyon vivant, dynamique et très secur…
Une jeune serveuse topissime!! 
Et une équipe parfaite. Du cuisto au responsable..
À refaire sans hésitation !!!"
14,vivelavie34,vivelavie34,30 octobre 2024,Tout est délicieux et fait maison!,5.0,family,15,"Ce n'est pas un attrape touriste malgré l emplacement qui serait idéal pour ça! Le rapport qualité/prix est très correct. Ça a le goût du fait maison. Simple et très efficace!
Mention spéciale pour la tarte à la praline qui n'a rien à envier aux meilleures pâtisseries de Lyon. Le verre de vin du coin est très correct. Le pâté de foie et sa sauce tomate sont absolument délicieux. 
L andouillette est parfaite, tout comme le suprême de volaille aux cèpes. Vous avez même réussi à faire dire à mon ado que le burger était son meilleur burger de l année. Bravo!
Le service est très rapide et les serveurs font leur maximum. Ils sont sous tension à cause du rythme mais ils sont aux petits soins quand même! Parfait! On y est retournés le lendemain!"
15,Pierre W,pierrew_sens,30 octobre 2024,Le meilleur bouchon jamais fait dans le vieux Lyon,5.0,couples,0,"Lors de notre premier soir sur Lyon, nous avons essayé cette adresse. Le charme a tellement opéré que pour la deuxième soirée nous sommes revenus sans hésiter !

Même si le menu typiquement lyonnais est quelques euros plus cher que chez les concurrents, le prix en vaut largement la chandelle !
Cervelle des canuts subtile et puissante, saucisson brioché excellent, andouillette lyonnaise juste parfaite, quenelle de brochet au top avec une sauce écrevisses extraordinaire et la tarte aux pralines subtile et savoureuse.

Le personnel ""en salle"" enfin en salle, au sous-sol, en terrasse et en rue... est lui aussi fort sympathique et efficace.

Merci pour ces 2 soirées mémorables !"
16,artemis,morganervln,23 octobre 2024,Un des meilleurs bouchons lyonnais,5.0,family,0,"Nous avons testé ce restaurant à la recherche d’un bouchon lyonnais qui pourrait nous accueillir malgré un horaire contraignant (nous n’étions disponibles qu’à partir de 14h). Nous n’avons pas été déçues. 
Le restaurant a facilement accepté notre réservation ainsi que la présence de notre petit chien, ce que nous avons bien entendu apprécié.
On a pu ressentir l’ambiance traditionnelle et familiale du bouchon lyonnais de notre entrée. Le personnel était bien entendu chaleureux et accueillant.
Nous n’avons pas déchanté en découvrant la formule entrée + plat + dessert pleine de délicieuses spécialités lyonnaises à 23,90€. C’est un prix plus qu’attractif, surtout compte tenu de la localisation très centrale et touristique du restaurant.
Le seul petit hic : l’attente des entrées qui a pu être un peu longue. Nous n’étions pas spécialement pressées donc cela ne nous a pas dérangé. 
Une fois les plats arrivés, c’était un pur régal. Nous avons pu retrouver tous les marqueurs de la cuisine lyonnaise traditionnelle et réconfortante. Les plats étaient bien servis et très goûtus. Les plats avaient sans aucun doute été préparés avec attention et avec des produits de qualité. C’est simple, nous nous sommes régalées. 
En bref, si vous êtes à la recherche d’un traditionnel bouchon lyonnais à prix abordable et servant des plats de qualité, c’est la qu’on vous recommande d’aller."
17,benedicte b,benedicteb553,22 octobre 2024,Il faut y aller,5.0,family,0,"Super bouchon. Personnel tres amiable et efficace. Super nourriture, excellent foie gras. Tout est delicieux. Je recommande. Il fair reserver"
18,Laetitia D,laetitiadG4131BB,12 octobre 2024,Un véritable bouchon lyonnais,5.0,friends,0,Il s'agit d'un véritable bouchon lyonnais. On s'est régalé de l'entrée au dessert. La serveuse était très accueillante.
19,FLVLD,Pioneer17663044370,11 octobre 2024,Loin de l'attrape-touriste,5.0,couples,0,"Comme beaucoup je pense, c'était mon premier bouchon lyonnais et quelle surprise ! Loin de l'attrape-touriste, et proposant des prix très corrects, on a le droit dans ce restaurant à une cuisine maison généreuse et riche en saveurs. De la bonne cuisine française, de qualité et servie par un personnel très agréable. Sans aucun doute l'un des restaurants à faire dans le Vieux-Lyon, pas étonnant qu'il faille faire la queue pour y manger."
20,Abby BL,arbybree,4 octobre 2024,Délice,5.0,friends,0,"Très bon bouchon lyonnais 
Large choix de repas
On s'est régalées ! 
Je recommande sans problème ce restaurant à faire à Lyon "
