,user,user_profile,date_review,title,rating,type_visit,num_contributions,review
0,juliobatteur,juliobatteur,2 janvier 2025,Relax !,4.0,family,1,"Service souriant et blagueur, ça fait plaisir vraiment. L'ambiance cosy plus le canapé m'ont fait m'excuser de m'affaler dessus tellement je me sentais naturellement tranquille.

Belle qualité de viande !

On reviendra pour tester le brunch !"
1,Céline B,c_lineb893,2 janvier 2025,Exceptionnel,5.0,friends,22,"Jour de l'an pour le passage à 2025.... un cadre très chaleureux, un repas délicieux mais surtout une qualité de service, des employés vraiment très sympas, efficace, à l'écoute et une ambiance de folie ! "
2,Rudy B,346rudyb,1 janvier 2025,Repas 🎂 d'anniversaire,3.0,friends,4,"Bonne ambiance et endroit convivial.
La qualité est très variable concernant le menu, avec des prix excessifs.
L'ensemble de la carte est à  revoir. Le service manque d'expérience.

Les cocktails sont bons et variés.
"
3,chreboud,chreboud,31 décembre 2024,J'ai adoré,4.0,family,1,"Ambiance super coocooning ac les canapés!!!! On est trop bien la vas avec les lumières, les bons cocktails et les bons plats. Le curry de légumes était délicieux et bien réussi. Serveur super sympa. N'ecouter pas ceux qui disent que la nourriture c'est bof. On était 7 et on a tous pris un plat différents, c'était délicieux et pr le prix et conseil vivement d'y aller et même d'y retourner!!! Je valide a 1000 pour centre. C'était en €0 décembre aussi, fin d'année pour le staff mais on l'a même pas senti. Bravo l'équipe 👏"
4,carine l,S2502TGcarinel,23 décembre 2024,Le restaurant qui nous voit bien 8 fois par an,5.0,family,1,"Nous venons régulièrement, pour déjeuner, dîner, en famille, avec copines ou version pro. Evidemment ce que nous préférons c'est le brunch, le seul vrai brunch de Lyon, varié, abondant, gourmand. Que l'on arrive en début de brunch ou en fin de brunch, c'est toujours fourni. Les, jus, les plats chauds, les salades, et évidemment les desserts (ah ces cookies...!), tout est vraiment bon. Des clients fidèles"
5,wilpat22,wilpat22,23 décembre 2024,La classe !,5.0,couples,1,"
Produits frais et variés au restaurant. Petit dej incroyable. Jus d'orange frais. Ambiance et deco sympas. Concert apprecié. Literie de qualité. Chambre propre. "
6,Catherine R,catherinerR3875VS,15 décembre 2024,BRUNCH TROP CHER,3.0,couples,3,"Pas d’organisation en salle, les gens ne respectent rien.
Le brunch n’est pas à la hauteur du prix demandé .
La clientèle n’est pas à la hauteur du lieu.
Nous avons été déçu comme quoi le prix n’est pas gage de qualité."
7,Vincent P,Trail793537,13 décembre 2024,Un de mes restaurants préférés à Lyon,5.0,business,4,"Bonne cuisine, service très sympa, décoration cosy et chaleureuse, bon son.
Les raisons de revenir au ""Mama"" régulièrement sont multiples. "
8,Natacha B,natachabE7708GM,10 décembre 2024,Un restaurant cantine où un repas coûte 40 euros,2.0,friends,4,"Nous sommes allés au Mama Shelter samedi 7 décembre pour l'anniversaire d'un ami. Nous étions un groupe de 14 personnes. Une première serveuse nous a indiqué que nous avions le choix que d'une partie de la carte (les ""plus simples à réaliser pour la cuisine"" je cite). Nos menus étaient notés sur une carte à côté. Lorsqu'un de nos amis a pris d'autres plats à la carte, le deuxième serveur ne la pas empêché (donc deux versions différentes au niveau des commandes et du service). 

 J'ai choisi la cocotte de coquillette avec œuf mollet et jambon blanc. 
Lorsque le plat est arrivé et que j'ai commencé à le gouter, je me suis rendue compte qu'il y avait de la crème à l'intérieur. Sauf que je suis intolérante au lactose et que cela n'était pas noté que le plat était à base de crème sur notre petite carte ""spécial groupe"". Chose que j'ai indiqué au serveur qui ne m'a pas cru. Il m'a ramené le plat sans crème et d'ailleurs sans rien d'autres. Résultat : j'ai mangé un plat de coquillette jambon sans aucune sauce, sec ... Pour 19€. Même chez moi cela aurait été meilleur. Pour le dessert, j'ai pris un fondant au chocolat pas très fondant et brûlé sur les extrémités que je n'ai même pas pu finir. 
En somme : 36€ pour un repas de cantine sec et brûlé. 
Seule note positive : les cocktails étaient excellents, le serveur était gentil et le DJ passait de bonne musique. 

Mais pour le restaurant : si vous voulez bien mangé avec un bon rapport qualité-prix ... Il vaut mieux éviter le restaurant du Mama Shelter. Je ne recommande pas."
9,syl12342024,syl12342024,8 décembre 2024,Un peu déçue,3.0,couples,1,"Nous étions venus pour fêter un anniversaire en couple mais nous avons eu la malchance d’avoir une table en plein passage au milieu des gens.
Le brunch est bien mais le prix augmente alors que ce n’est pas le cas de la qualité et des plats proposés."
10,tistey,tistey,2 décembre 2024,Valeur sûre,5.0,friends,3,"Plats au top, ambiance superbe, bon rapport qualité/prix, que demander de plus!?
J'y retournerai toutes les semaines si il le faut"
11,Delphinounette28,Delphinounette28,1 décembre 2024,Super Brunch,5.0,couples,1,"J'ai adoré ce brunch très complet, chocolat chaud à volonté, c'était trop bon, du sucrée du salé, bacon oeuf, des desserts miam tout était bon. 
J'ai vraiment apprécié"
12,diabolo42,diabolo42,29 novembre 2024,restaurant et déco très sympa,4.0,friends,48,"ambiance très sympa, la cuisine est très correct le service va bien la déco est top c'est un bel endroit pour manger et passer un bon moment en famille ou entres amis"
13,Christophe C,U1639XVchristophec,27 novembre 2024,Au top,5.0,family,3,"Super dîner en famille. Ambiance au top avec des serveurs hyper sympa et pro. 
Les plats étaient très bon et copieux. 
La deco fait son effet et le bar (immense) au milieu du restaurant est juste dingue."
14,Claude E,claudee2013,26 novembre 2024,Au final très moyen et plutôt décevant malgré un service de qualité,2.0,business,8,"Le restaurant est assez sombre et bruyant
L'ambiance se veut branchée et dégressive mais le résultat est très moyen :
- Bruit
- La cuisine très grasse
- Assez cher pour ce que c'est"
15,Chamco,Chamco,25 novembre 2024,Cher pour ce que c'est,3.0,business,11,"Endroit extrêmement bruyant (musique à fond).
La nourriture était relativement bonne mais onéreuse, le service était bon mais très lent."
16,florenceaubergier,florenceaubergier,21 novembre 2024,Toujours au top!,5.0,family,3,"Carte originale, plats copieux et de très bonne qualité
Ambiance décontractée
Service réactif et sympathique"
17,Marie W,Y7289OOmariew,19 novembre 2024,Décevant,3.0,family,1,"J’ai invité mes 2 grands enfants à manger,  le cadre est sympa même si nous étions sur une table ronde trop basse. Le repas en lui même était plutôt bon malheureusement je me suis rendue compte une fois rentrée qu’il y avait eu une erreur dans l’addition… un peu salée! J’ai réglé sans avoir eu la note… erreur à ne pas faire."
18,brevetsencoches0n,brevetsencoches0n,18 novembre 2024,Bien mais songeurs pour y retourner,4.0,couples,3,Brunch d’un dimanche matin en couple un peu gâché avec plusieurs groupes bruyants. Pas mal de choix et bonne cuisine meme si trop peu orientée végétarien (plutôt lourd)
19,marineweiss2024,marineweiss2024,14 novembre 2024,Restaurant à découvrir !,4.0,business,1,"Ambiance au top avec DJ et une déco incroyable et les plats sont très bons.
Bémol sur le service, vraiment long et manque de disponibilité du personnel."
20,Karine A,karinea211,11 novembre 2024,Très bon brunch,5.0,family,3,Je recommande cette adresse nous avons passé un bon moment en famille à refaire mais on y retournera un samedi midi je pense qu’il y aura moins de monde que le dimanche 
21,NayruSouls,NayruSouls,31 octobre 2024,Excellent !,5.0,friends,1,"J'y suis allée 2 fois, pour le déjeuner avec ma collègue et en dîner entre amies. À chaque fois tout était parfait ! Je reviendrai !"
22,pichardsoraya,pichardsoraya,28 octobre 2024,Bon mais....,3.0,family,1,Habituée au brunch dans d'autres restaurants celui-ci était pas mal mais choisir un autre créneau horaire que 14h pour avoir du choix.
23,Fabien69450,Fabien69450,27 octobre 2024,Virée à deux,4.0,couples,1,"Petite escapade romantique et décalée, lieu totalement approprié à ce genre de petite soirée couple…à refaire sans tarder "
