user,user_profile,date_review,title,rating,type_visit,num_contributions,review
JEBoys,JEAVBOYS,18 juin 2024,Voyage réussi,5.0,couples,23,"Un voyage épatant, des saveurs surprenantes, un service au top ! Nous avons passé une très belle soirée.

Pour les amateurs de saveurs et ceux qui aiment sortir des sentiers battus de la cuisine française… allez y"
maxime b,maximebU638GQ,10 juin 2024,Bravo !,5.0,solo,1,"Très très bonne cuisine, cadre très agréable.
Accessoirement le site web du restaurant est magnifique.
Ce sont les visuels du site web qui m'ont donner envie d'y aller.
Surtout, ne changez rien. Tout est parfait !"
Ludovic B,ludovicbB2487UM,31 mai 2024,Merveilleux moment !!,5.0,couples,1,"Superbe instant! Tout était parfait, dans l’assiette, dans le verre et un service qui vous fait voyager! Des saveurs subtiles!"
raya k,971krysr,30 mai 2024,Ou est t’elle ! ⭐️⭐️,5.0,couples,11,"Par quoi commencer ! Un tour d’horizon du cadre cosy  à souhait , banquette, siège très confortable, l’équipe, on ne peut plus parfaite maîtrisant le sujet, maintenant que dire de ce Chef et de ce qu’il nous propose ! Comme dans mon titre où est la deuxième étoile ? étoilé depuis 2017, sept ans à tenir la première étoile je dis moi que la deuxième est amplement mérité, effectivement il y a 2/3 bémols mais en qui  en fait n’en sont pas vraiment ! Concernant la cuisine c’est un festival de saveurs, alors après il y a un parti pris on est dans la cuisine NIKKEI ,  Franco  Péruvienne donc ça plaît ou ça ne plaît pas ! si ça ne plaît pas il faut ne pas y aller mais pour ceux qui connaissent un petit peu cet art culinaire, on est là un très haut niveau! Pour notre part du début à la fin, tout a été parfait, peut-être le beurre de foie gras pas assez de foie gras présent mais vraiment c’est anecdotique, par contre effectivement quand on peut prétendre à une  deuxième étoile en France , on a une très belle carte des vins  mais qui est une carte des vins du monde !  il manque énormément et incontestablement de flacons français, et ça le Michelin ne passera pas outre, et effectivement les verres de vin sont effectivement trop cher ! pour un restaurant même étoilé  c’est un chouïa  excessif ! En résumé aller dîner, vous qui vous trouvez à Lyon ou  qui traverser cette ville, 160 € dans un étoilé avec le travail fourni, la découverte de produits et les saveurs  découvertes , aucunes hésitations , pour notre autre part, lors d’un prochain séjour sur Lyon, bien évidemment que nous y ferons un petit arrêt , accessoirement quelques sakés à déguster, notamment une référence française à découvrir aussi.
Donc j’aime à pensé que l’année prochaine, le Michelin va ouvrir les yeux, et que les 2 ou 3  petites choses à changer au sein de l’établissement seront prise en compte, afin de contenter ces messieurs du Michelin, ni plus ni moins ! 🐈‍⬛🙏🔱"
Philippe M,philippemV1468ZK,17 avril 2024,Un voyage gastronomique franco péruvien extraordinaire,5.0,couples,45,"Nous nous étions déjà régalés dans le précédent restaurant rue Garibaldi. Maintenant il y a une réelle progression dans l'originalité et l'inventivité des plats. C'était un voyage gastronomique franco péruvien extraordinaire.
Je mettrai juste deux réserves : la musique Latino est trop forte et le prix des boissons est vraiment élevé (bouteille d'eau minérale gazeuse à 9€, les vins au verre à 20€)"
Emmanuelle L,J4018ABemmanuellel,27 janvier 2024,Cuisine d’assemblage,3.0,couples,3,"Cuisine d’assemblage, un menu unique servi à tous en même temps, la plupart des plats sont froids, l’un est très pimenté, un autre a une sauce au miel très sucrée. Le ceviche est bon, la mélisse bien utilisée (granite Mélisse). Pour moi le prix est trop élevé pour la valeur gustative."
Didier B,SYD69Char,30 novembre 2023,"Expérience décevante, rapport qualité prix médiocre.",3.0,couples,11,"Cette adresse nous a été recommandée par une personne de notre entourage, mais je prends soin de toujours lire les critiques avant de tester un nouveau restaurant. Confortés par des commentaires globalement positifs nous réservons une table pour 19h30 ce samedi de novembre.
Nous nous présentons à 19h28 et la porte est fermée, à priori rien à dire puisqu’il n’est pas encore 19h30. Avant l’heure c’est pas l’heure mais visiblement après l’heure ce n’est toujours pas l’heure. Quelques minutes passent sans que personne ne songe à ouvrir cette porte pour commencer l’accueil des convives, la soirée ne débutait pas forcément de la meilleure manière.
On passe à table, le service débute et la salle se remplit environ une trentaine de couverts.
Tout au long du repas le niveau sonore de la salle ne fait que s’amplifier, si on ajoute la musique d'ambiance il devient impossible d’entendre la description des plats au moment du service à tel point que nous avons fait répéter plusieurs fois les jeunes serveuses.
Les plats sont travaillés et bien présentés certes mais avec les quantités sont réduites et surtout pas de produits nobles pour un menu tout de même facturé 165,00 € sans les boissons (ici ceviche de Daurade et poitrine de porc, mais point de Turbot ou de bœuf de Kobé).
En résumé cette soirée nous a déçu et bons nombres de détails ne sont pas à la hauteur d’un étoilé Michelin. Je pense que le chef joue trop sur le côté exotisme, l’originalité des produits et le nom Péruvien des plats ne fait pas tout."
Yann B,995yannb,10 septembre 2023,Voyage de saveurs,5.0,couples,270,"Un superbe voyage culinaire, une découverte de saveurs. Le service est très agréable. S’il y avait un seul bémol à mettre, la musique un peu trop forte (détail). "
FrenchFoodieAccro,FrenchFoodieAccro,17 juin 2023,Mérite son étoile !!!,5.0,couples,293,"Fabuleuse expérience !! Belles assiettes, saveurs surprenantes, top carte des vins. A faire et à refaire. WOW 

Seul bémol: le service très terne .....,,."
Philippe G,PhGenion,28 avril 2023,Remarquable restaurant. A ne pas manquer.,5.0,couples,1428,"MIRAFLORES 1* restaurant péruvien à Lyon - seul resto péruvien étoilé en Europe ! Avril 2023

C’est notre deuxième visite chez MIRAFLORES que nous avions découvert quasi par hasard lors de notre dernier voyage en france, au retour de Mirazur. C’est le seul restaurant péruvien étoilé en Europe depuis que celui de Londres a perdu la sienne. 

A l’entrée se trouve leur brasserie, proposant des cocktails, bières, vins et un grand choix de ceviche et quelques autres plats. C’est la qu’on patiente aussi jusqu’à l’ouverture de la grande porte de bois protégeant la quiétude du restaurant gastronomique à l’ambiance sombre et tamisée. 

La menu « MACHU PICCHU » comporte 13 envois répartis en 6 séquences successives, 5 salées et 1 sucrée. 
Ce « Voyage printanier 2023 » commença par leur classique trompe-l’œil : le Beurre de foie gras en forme de piment, et brioche de pomme de terre. Brillant et superbe. Ensuite Sandwich à la Chalaca moules, tuile noire en forme d’arête de poissons. On continue la séquence de mises en bouche avec l’étonnant cube transparent et sa Bouchée de poulpe Crème Botija Al Olivo. 

Le menu commence alors avec le Taco vert, fait de deux herbes entremêlées comme du tissu, Chicha de Jora, maïs et caviar Polanco. Une vraie merveille épicé et totalement dépaysant. 

Le chef Carlos Camino est très rigoureux par rapport au choix des produits soit importés du Pérou, soit à base de graines péruviennes et élèves dans des serres et jardins à proximité de Lyon. 

On continue avec l’incontournable Ceviche, ici fait de beaux tronçons moelleux de daurade, Lèche de Tigre, airampo, et 🐜 fourmis coqui grillées ! Acidité mais aussi du lacté et de l’épice évidemment. Pain boulanger complet de Quinoa en accompagnement. 

Pota braisée Palo Santo, edamame, sauce nikkei, c’étaient des lamelles de seiche d’une texture admirable, et ce fut suivi de Masato, Panais, moutarde aigre, vanille plus Racine de manioc fermentée en chips croquants à écraser pour tout manger ensemble. 

Enfin en plat, un fort beau Filet de veau de l'Aveyron en très longue cuisson lente, entourée d’une constellation herbes et condiments dont deux sauces fondamentales de la cuisine péruvienne, huacatay et aji Panca. C’était merveilleusement bon. 

Coté vins, l’excellent sommelier Jean-Claude Ruet propose une sélection sélection de vins fort bien choisis. Nous avons aussi opté pour une bouteille d’un des excellents sake junmai produits dans le Rhône, idéal pairing de fraîcheur avec cette cuisine puissante. 

La séquence sucrée ensuite commence avec une quenelle de Glace de maïs Morado, un maïs rouge très goûteux, espuma de gin virgin, et quinoa. Ensuite Eucalyptus, cacao criollo, argile chaco, raspadilla et mélisse, et enfin une boîte contenant trois belles mignardises, Cocaron feuille de coca, Cannelé de Yuca, Cacao criollo à la mangue. 

C’était un superbe repas. Un moment hors du temps, hors du lieu, partout sur les goûts, les textures et l’odorat ! On ne mange nulle part ailleurs ces assiettes fantastiques. Allez-y tousstes !!!!"
