,user,user_profile,date_review,title,rating,type_visit,num_contributions,review
0,Filipe d,964filiped,24 avril 2024,Le meilleur restaurant Japonais de Lyon,5.0,couples,3,"C’est incontestablement les meilleurs restaurants Japonais (même si Mr Kil est Coréen) les suchi, sashimi, nigiri de Lyon.
C’est un Itamae pour moi."
1,Kriskova,nataliakriskova,29 mars 2024,"Cher, plutôt bon, mais je n'y retournerai certainement pas",3.0,family,5,"Nous avons voulu partager un menu (la quantité est énorme pour une personne), on nous a dit que ce n'était pas possible, puis que si, ok, on ferait une exception. Résultat, on a eu des choses redondantes (plusieurs sushis crevettes) là où on aurait dû avoir une plus grande variété de poissons. Bref, ils ont économisé sur la marchandise. Je trouve cela malhonnête. Trop cher pour ce qu'on a dans l'assiette, et service pas aimable, le personnel n'est du reste, pas plus japonais que dans des maisons de bas de gamme."
2,Expedition184324,Expedition184324,5 février 2024,Pour un moment Zen,5.0,family,6,"Pour un moment Zen, vous êtes à la bonne place. Nous sommes difficiles sur le plan culinaire, mais c’était une belle expérience. Ici le décor, le service, la fraîcheur et le goût des sushis, tout devrait vous satisfaire, comme nous l’avons été. Prix un peu plus élevé qu’ailleurs mais mérité."
3,chloe,Pioneer14728317716,30 décembre 2023,Juste wahou !!!,5.0,family,68,"Une qualité incomparable, des saveurs mémorables… par gourmandise on aurait réussi à en manger plus sans problème.
Le menu enfant était parfait pour notre fille.
À recommander"
4,Anna S,D8509VUannas,15 septembre 2023,Évidemment le meilleur restaurant japonais gastronomique de Lyon,5.0,friends,3,"Pour les amateurs de cuisine japonaise et coréenne. Un cadre somptueux, j'ai été  estomaquée en entrant ! Les sushis/makis/sashimis d'une qualité incroyable. Bravo !"
5,Marion C,890marionc,18 août 2023,L'univers de Miyazaki,5.0,couples,132,"Sans conteste le meilleur restaurant japonais de Lyon, dans un lieu magique qui pourrait sortir tout droit de l'univers de miyazaki ou de  makoto shinkai . Les prix sont plus élevés qu'ailleurs, mais la qualité est toujours au rendez-vous . Le chef est passionné et viens vous expliquer l'ordre de la dégustation à la table . Nous l'avons découvert il y a plus de 10 ans et y retournons occasionnellement depuis . "
6,Berrymcgregor,Berrymcgregor,10 août 2023,"Superbe, comme toujours",5.0,couples,332,"Venus ici plusieurs fois, nous sommes à chaque fois émerveillés par la qualité des produits et la délicatesse de la présentation. Le goût des poissons est incomparable, le service est impeccable. Les sushi à l'anguille sont à tomber. Merci encore."
7,DomDeLay,dominiquedY4864OK,8 août 2023,Toujours très bon 🙏,5.0,couples,49,"Maître Kim ""le vrai"" que je connais depuis presque 20 ans🙏 où la qualité est toujours au Top 👏
#wasabilyon"
8,JLMR C,Jlmrc,13 février 2023,Une très bonne adresse pour manger de bons produits japonais,5.0,family,63,"Une adresse où on vous apprend à apprécier et à déguster de bons produits japonais. 
Peut être un petit peu cher mais les menus sont excellents et de type gastronomiques. 
Belle découverte, nous reviendrons sans hésitation pour passer un moment culinaire asiatique. 
Merci au chef !"
9,maxrvp20,maxrvp20,20 janvier 2023,Un très bon moment,5.0,friends,928,"Quel joli restaurant, particulièrement bien décoré, c’est très joli. Ambiance douce. 
Les mets sont très bons , les poissons sont frais et variés, le service est aux petits soins. Attention ce n’est pas donné mais c’est du semi gastro asiatique donc cela se justifie ! N’hésitez pas"
