user;user_profile;date_review;title;rating;type_visit;num_contributions;review;restaurant
Fred S;fredsX5996LQ;15 décembre 2024;Très belle expérience;5.0;family;8;Ambiance soignée, patrons amicaux et donnant toutes les explications bienvenues sur l'histoire de leur restaurant et sur les plats. De beaux plats, 2 à 3 choix par type. Très bien cuisiné, assaisonné et portions équilibrées. Belle carte des vins, très fournies. Bravo à vous, nous reviendrons;Frazarin Bistrot Franco Italien
Guide38409630404;Guide38409630404;27 novembre 2024;Déjeuner au Frazarin, que du bonheur;5.0;friends;1;"Vous voulez bien manger, alors allez dans ce restaurant. Tout est parfait. L'accueil, la sympathie du personnel, excellent.
Vous pouvez même vous rendre en cuisine pour féliciter le cuisinier, il est très content d'entendre votre satisfaction.
Je le recommande vivement. En sortant du restaurant, mes amis m'ont dit "" il faut que l'on revienne ici, trop bon """;Frazarin Bistrot Franco Italien
Chartin M;chartinm;20 novembre 2024;La perfection tout simplement;5.0;couples;4;"Tout simplement parfait de l’entrée au dessert en passant par les vins et le service. 

Assurément un des meilleurs restaurant de ma vie !

Merci Frazarin.";Frazarin Bistrot Franco Italien
Axelfoley009;Axelfoley009;18 novembre 2024;Plat frais et de qualité;5.0;couples;38;Belle soirée passée au Frazarin. Certainement encore plus recommandable pour les amateurs de vin(s). Personnel également très avenant.;Frazarin Bistrot Franco Italien
Karine P;karinepU103AS;13 novembre 2024;très bien;5.0;business;1;Très bon restaurant ! j'ai adoré le service et l'offre de restauration, le lieu est convivial ! je recommande à tous les amateur d'Italien;Frazarin Bistrot Franco Italien
Jérôme L;j_r_mel472;13 novembre 2024;Très belle surprise !!!;5.0;couples;8;"Restaurant situé rue de Condé, vous qui êtes de passage ou habitant de Lyon, vous ne pouvez pas passer à  côté de cette pépite...
Très belle déco et que dire de ce qui se passe dans l'assiette! 
Cuisine raffinée qui exaltera vos papilles et qui vous fera voyager jusqu'en Italie... 
Alors à vos fourchettes et bon appétit....";Frazarin Bistrot Franco Italien
aquario13;cramarc13;22 octobre 2024;Le Frazarin, promis un jour j'y reviens !;5.0;solo;173;"Mon dîner plutôt italien avec en 
entrée (photo hélas floue) : 
gnudi (sorte de gnocchis) toscani, ricotta e spinacci, bouillon e lardo colonnata. C'est sous forme de sphère - ricotta e spinacci), en fait enroulée dans de la colonnata, très très fine tranche de lard blanc frit, ressemblant à un Ha Kao mais plus translucide. Aussi surprenant à voir qu'à déguster ;

en plat : 
tagliatelle pomodoro, salsiccia, finicchio e menta. Le régal continue...

en dolce (dessert ) : gros chou crème pralinée, mascarpone avec caramel beurre salé et noisettes caramélisées. Un ""must"" !

Avec, pour accompagner, un ballon de succulentissime
Nero d'Avola.

Une adresse où se rendre sans hésiter à Lyon.";Frazarin Bistrot Franco Italien
M@lt;michelleaP8487LA;17 octobre 2024;Un coup de cœur !;5.0;couples;271;"Déjà à l’entrée, on y est accueilli avec gentillesse. Le service est personnalisé puisqu’on prend le temps d’expliquer le menu. Il ne faut pas s’attendre à un menu très diversifié, mais ce qui est proposé est bien cuisiné et recherché.
Bref, c’est vrai que c’est bon.";Frazarin Bistrot Franco Italien
Muriel J;280murielj;11 octobre 2024;Très bonne adresse;5.0;couples;1;Accueil très sympathique, plats originaux et très expressifs. Très bons conseils sur les vins. Une très bonne adresse.;Frazarin Bistrot Franco Italien
Isabelle C;IsabelleC546;26 septembre 2024;Une belle découverte;5.0;couples;182;"Dès qu’on pousse la porte, on est chaleureusement accueilli par d’immenses sourires.
Le personnel est très sympathique et convivial ( un immense merci à Quentin qui connaît même la petite commune de Linkebeek 😂). La suite n’est pas en reste : une belle vaisselle, une présentation très soignée et des plats délicieux et de qualité.
Bref, on vous le recommande les yeux fermés.
Encore merci à vous.";Frazarin Bistrot Franco Italien
MissEmmaR;MissEmmaR;22 septembre 2024;QUALITE GUSTATIVE INCROYABLE!!!!;5.0;solo;339;"TOUT EST FAIT MAISON ET CA SE VOIT!!!!
le déjeuner permet de choisir sa formule (plat ou entée plat ou plat dessert ou plat fromage ou entrée plat dessert/fromage) maximum 30 euros
Les saveurs sont exquises, vraiment. Et l'accueil est extrêmement sympathique.
Je reviendrai. JE RECOMMANDE!";Frazarin Bistrot Franco Italien
Alizée S;aliz_es258;20 septembre 2024;Une adresse a noter pour y retourner;5.0;couples;2;Restaurant génial : le personnel est adorable et aux petits soins, les plats sont excellents, les prix corrects, le lieu est joli et pas trop bruyant. On voit des passionnés a l'œuvre et ça donne un repas super :);Frazarin Bistrot Franco Italien
claudine d;claudinedidier;14 septembre 2024;La vraie cuisine italienne;5.0;friends;10;"Très belle découverte, nous avons passé une excellente soirée .
La cuisine est délicieuse, de bons produits parfaitement mis en valeur ! 
Nous avons été judicieusement conseillés pour le choix des vins , le tout dans une ambiance chaleureuse et un cadre très agréable.
Nous reviendrons avec plaisir !";Frazarin Bistrot Franco Italien
Oscar L;I6610XFoscarl;12 septembre 2024;Un moment de partage;5.0;family;1;"Super moment ! Cuisine exceptionnelle et service incontournable… je recommande grandement ! 
Voyage entre l’Italie la france et une bande de pote";Frazarin Bistrot Franco Italien
Mical A;MicalA5;12 juin 2024;Délicieux;5.0;friends;23;Excellent restaurant avec une influence italienne. Le serveur Max nous a très bien conseillés sur le vin. Vous pouvez y aller les yeux fermés et vous ne serez pas déçu 🤌;Frazarin Bistrot Franco Italien
claudiabk2020;claudiabk2020;11 juin 2024;Un délice;5.0;friends;1;"De passage à Lyon avec une amie, j'avais repéré ce restaurant auparavant pour sa cuisine locale et son cadre agréable.
Nous voulions prendre du poisson mais comme la veille était un jour férié, il n'y en avait plus. Alors nous avons choisi le veau à la place. Résultat: Nous nous sommes régalées, une viande très tendre, agrémentée d'une sauce succulente à la sauge, le tout accompagné de pommes de terre caramélisés, un vrai délice.
Idem pour l'entrée et le dessert. J'y retournerais sans hésiter.";Frazarin Bistrot Franco Italien
